Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
35, Dương Thị Xuân Quý,Mỹ An,ngũ hành sơn,6.3,98.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,25.0,1,"16.04244,108.24356"
36, Lê Độ,Chính Gián,thanh khê,3.2,73.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,11.0,2,"16.07062,108.20136"
37, Hùng Vương,Vĩnh Trung,thanh khê,4.1,43.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,11.0,5,"16.06689,108.21214"
38, Hải Phòng,Tân Chính,thanh khê,3.2,46.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,3.5,14.0,3,"16.07085,108.20893"
39, Lê Hữu Trác,An Hải Đông,sơn trà,5.1,80.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,21.5,3,"16.05862,108.23956"
40, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,2.35,115.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,19.0,2,"16.05849,108.15735"
41, Dương Quảng Hàm,Khuê Trung,cẩm lệ,5.4,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3,"16.03387,108.21396"
42, Quách Thị Trang,Hòa Xuân,cẩm lệ,4.8,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"15.99703,108.2133"
43, 305 Yên Khê,Thanh Khê Đông,thanh khê,3.9,4.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,8.5,3,"16.05781364,108.15126038"
44, 536.25.10 Điện Biên Phủ,Thanh Khê Đông,thanh khê,2.4,61.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,15.0,2,"16.06533,108.20615"
45, Võ Chí Công,Hòa Quý,ngũ hành sơn,3.1,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"15.9913,108.23725"
46, 24 An Trung 1,An Hải Tây,sơn trà,6.9,98.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1,"16.05614,108.23502"
47, Ngô Quyền,An Hải Đông,sơn trà,12.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,,2,"16.09631,108.24529"
48, Nguyễn Tri Phương,Hòa Thuận Tây,hải châu,9.5,115.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,28.6,3,"16.05232,108.21081"
49, Hoài Thanh,Mỹ An,ngũ hành sơn,17.5,130.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,13.0,7,"16.04427,108.23848"
50, Hoài Thanh,Mỹ An,ngũ hành sơn,18.0,130.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,13.0,7,"16.04427,108.23848"
51, Nguyễn Văn Thoại,An Hải Đông,sơn trà,24.9,114.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.5,19.5,3,"16.05747,108.24433"
52, Phần Lăng 9,Hòa Khê,thanh khê,3.9,81.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,18.0,1,"16.05747,108.18768"
53, Nguyễn Trung Trực,Nại Hiên Đông,sơn trà,7.5,100.0,Không,Nhà mặt tiền,Không có,7.0,16.0,1,"16.08582,108.22967"
54, Cao Bá Quát,An Hải Tây,sơn trà,5.1,64.0,Không,Nhà mặt tiền,Không có,4.4,14.5,1,"16.06433,108.23061"
55, Nguyễn Phan Vinh,Thọ Quang,sơn trà,3.7,81.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,16.0,3,"16.10053,108.25114"
56, Hoài Thanh,Mỹ An,ngũ hành sơn,17.9,130.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,13.5,7,"16.04427,108.23848"
57, Dương Quảng Hàm,Hòa Cường Nam,hải châu,5.5,74.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.7,3,"16.07505,108.22114"
58, Hoà Minh 21,Hòa Minh,liên chiểu,4.6,7.0,Không,Nhà mặt tiền,Không có,5.0,,3,"16.07795,108.16094"
59, Phạm Như Xương,Hòa Khánh Nam,liên chiểu,3.75,114.0,Không,Nhà mặt tiền,Không có,8.0,,1,"16.06383,108.14822"
60, Lưu Trọng Lư,Hòa Cường Bắc,hải châu,5.9,70.0,Không,Nhà mặt tiền,Không có,5.0,,4,"16.03176,108.23118"
61, Thái Thị Bôi,Chính Gián,thanh khê,3.75,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,,3,"16.06831,108.1972"
62, Nguyễn Thị Minh Khai,Thạch Thang,hải châu,16.8,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,4,"16.0744,108.21805"
63, Phạm Phú Thứ,Hải Châu I,hải châu,15.0,58.0,Không,Nhà mặt tiền,Không có,4.7,12.5,4,"16.06744,108.22425"
64, Phạm Tu,Phước Mỹ,sơn trà,5.2,56.0,Không,Nhà mặt tiền,Không có,4.0,16.0,3,"16.06653,108.24049"
65, Mỹ Đa Đông 5,Mỹ An,ngũ hành sơn,7.2,68.0,Không,Nhà mặt tiền,Không có,4.0,17.0,5,"16.04262,108.24301"
66, Trần Bình Trọng,Hải Châu I,hải châu,17.5,110.0,Không,Nhà mặt tiền,Không có,6.2,17.0,4,"16.066,108.21872"
67, Bùi Viện,Hòa Cường Nam,hải châu,11.0,88.0,Không,Nhà mặt tiền,Không có,5.0,17.5,5,"16.03097,108.2322"
69, Phùng Chí Kiên,Hòa Minh,liên chiểu,4.5,90.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,3,"16.07763,108.16537"
70, Trần Lê,Hòa Xuân,cẩm lệ,9.0,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.00704,108.21649"
71, Đa Phước 4,Khuê Mỹ,ngũ hành sơn,28.5,89.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,15.0,19.3,3,"16.02563,108.23957"
72, 278 Trần Cao Vân,Tam Thuận,thanh khê,1.5,36.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,3.0,12.0,1,"16.07252,108.2031"
73, 376 Trần Cao Vân,Thanh Khê Đông,thanh khê,3.3,57.0,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,12.0,3,"16.07105,108.19999"
74, Tống Duy Tân,Hòa Minh,liên chiểu,2.75,65.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,16.25,2,"16.05959,108.16943"
75, 141 Tiểu La,Hòa Cường Bắc,hải châu,5.3,95.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,13.5,3,"16.04468,108.21638"
76, Hoàng Minh Thảo,Hòa Khánh Nam,liên chiểu,4.29,107.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,10.0,13.0,3,"16.04687,108.16397"
77, Bình Kỳ,Hòa Quý,ngũ hành sơn,3.75,50.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,36.0,1,"15.99442,108.2388"
78, Dũng Sĩ Thanh Khê,Thanh Khê Đông,thanh khê,2.5,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,2,"16.07597,108.17332"
79, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,1.95,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,,1,"16.05375,108.21903"
80, Lê Duẩn,Tân Chính,hải châu,3.15,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,,2,"16.07148,108.22157"
81, Dương Vân Nga,Nại Hiên Đông,sơn trà,15.0,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,21.0,,6,"16.09172,108.23162"
82, Ngô Thì Sĩ,Mỹ An,ngũ hành sơn,15.799,106.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,4,"16.04771,108.24537"
83, Trường Thi 4 Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,6.2,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,3,"16.06008,108.21539"
84, Đinh Núp,An Khê,thanh khê,5.2,81.0,Không,Nhà mặt tiền,Không có,4.5,18.0,3,"16.06318,108.18303"
85, Lê Thanh Nghị,Hòa Cường Nam,hải châu,12.5,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,4,"16.03029,108.21903"
86, Phạm Nhữ Tăng,Hòa Khê,thanh khê,5.7,75.0,Không,Nhà mặt tiền,Không có,4.87,15.5,3,"16.06307,108.18955"
87, Sơn Thủy 2,Hòa Hải,ngũ hành sơn,5.0,115.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,2,"16.01371,108.25355"
88, Điện Biên Phủ,Chính Gián,thanh khê,3.6,40.0,Không,Nhà trong hẻm,Không có,,,3,"16.06715,108.196"
89, Đỗ Bá,Mỹ An,ngũ hành sơn,12.5,71.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,11.0,,,"16.05193,108.24696"
90, Hùng Vương,Hải Châu II,hải châu,11.0,69.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,3.65,18.5,1,"16.06859,108.221"
91, Ngô Thì Hương,Nại Hiên Đông,sơn trà,5.5,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.09753,108.23206"
92, Nguyễn Công Trứ,Phước Mỹ,sơn trà,9.99,111.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,25.0,1,"16.06847,108.23054"
93, Trương Định,Nại Hiên Đông,sơn trà,7.7,96.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,13.0,15.0,3,"16.08935,108.24592"
94, Lâm Hoành,Phước Mỹ,sơn trà,3.8,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,17.0,3,"16.06168,108.24547"
96, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,17.0,125.0,Không,Nhà mặt tiền,Không có,5.0,,4,"16.03954,108.21035"
97, Nguyễn Tất Thành,Tam Thuận,thanh khê,3.85,50.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,13.0,3,"16.07765,108.17369"
98, Ngô Chi Lan,Thuận Phước,hải châu,3.2,61.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,3.5,20.0,,"16.06903,108.21546"
99, Hải Phòng,Tân Chính,thanh khê,3.2,46.0,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,12.0,3,"16.07085,108.20893"
100, Lê Hữu Khánh,Khuê Mỹ,ngũ hành sơn,15.5,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,,3,"16.02931,108.2398"
101, Nguyễn Phan Vinh,Thọ Quang,sơn trà,3.3,109.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,1,"16.10053,108.25114"
102, An Trung,An Hải Tây,sơn trà,3.9,55.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,2,"16.05658,108.23506"
103, Phạm Hùng,Xã Hòa Châu,hòa vang,6.95,107.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,21.5,2,"15.98264,108.20803"
104, Mỹ Khê 4,Phước Mỹ,sơn trà,3.3,84.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,19.0,2,"16.06396,108.24034"
106, Dũng Sĩ Thanh Khê,Thanh Khê Tây,thanh khê,2.5,48.0,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,12.0,2,"16.07597,108.17332"
107, Kinh Dương Vương,Hòa Minh,liên chiểu,6.999,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3,"16.07745,108.16551"
108, Bằng Lăng 1,An Hải Tây,sơn trà,10.9,100.0,Tây Bắc,Nhà mặt tiền,Không có,5.0,20.0,3,"16.08923,108.24709"
109, Lý Tự Trọng,Hải Châu I,hải châu,5.5,59.0,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,6.2,9.54,3,"16.07853,108.21389"
110, Xuân Đán 2,Xuân Hà,thanh khê,5.1,89.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.8,1,"16.07082,108.19384"
111, An Thượng 18,Mỹ An,ngũ hành sơn,4.5,40.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,10.0,1,"16.04836,108.24055"
112, Tố Hữu,Hòa Cường Nam,hải châu,7.8,100.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1,"16.03441,108.21851"
113, Phan Thị Nể,Hòa Minh,liên chiểu,4.5,81.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.07961,108.16322"
114, Phú Xuân 1,Hòa Minh,liên chiểu,3.5,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1,"16.07302,108.16626"
115, Nguyễn Bỉnh Khiêm,An Hải Tây,sơn trà,6.0,5.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.3,9.57,3,"16.06415,108.23249"
116, Ngô Quyền,An Hải Bắc,sơn trà,4.5,140.0,Không,Nhà mặt tiền,Không có,6.0,,2,"16.09631,108.24529"
117, Nại Hiên Đông,Nại Hiên Đông,sơn trà,3.6,68.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,2,"16.08794594,108.2298584"
118, Bùi Dương Lịch,Nại Hiên Đông,sơn trà,4.45,7.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,16.0,3,"16.0895,108.23283"
119, 12 Cao Sơn Pháo,Hòa An,cẩm lệ,3.8,61.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,10.0,3,"16.05826,108.17668"
120, 12 Cù Chính Lan,Hòa Khê,thanh khê,5.9,78.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,17.0,3,"16.0714016,108.19120789"
