Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
963, Lê Thanh Nghị,Hòa Cường Bắc,hải châu,12.5,81.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,18.0,3,"16.03029,108.21903"
964, Thanh Lương 15,Hòa Xuân,cẩm lệ,4.1,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.0086,108.21612"
965, Lê Quảng Chí,Hòa Xuân,cẩm lệ,7.75,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.00149,108.21537"
966, Thanh Lương 21,Hòa Xuân,cẩm lệ,5.2,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.02157,108.20994"
967, Tân An 2,Hòa Cường Bắc,hải châu,5.6,74.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.5,3,"16.03867,108.21342"
968, Hà Bồng,Hòa Xuân,cẩm lệ,5.5,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.0211,108.20662"
969, Hoàng Ngọc Phách,Khuê Trung,cẩm lệ,4.1,95.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.5,2,"16.01482,108.20876"
970, Lê Văn Thứ,Mân Thái,sơn trà,7.0,90.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,10.0,3,"16.08525,108.24438"
971, Phạm Hùng,Hòa Xuân,cẩm lệ,6.2,107.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.5,3,"16.00192,108.207"
972, Ngô Văn Sở,Hòa Khánh Nam,liên chiểu,17.0,50.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,25.0,2,"16.06828,108.14927"
973, Ngô Văn Sở,Hòa Khánh Nam,liên chiểu,18.0,50.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,25.0,2,"16.06828,108.14927"
974, Nguyễn Nhàn,Khuê Trung,cẩm lệ,4.4,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,1,"16.01108,108.19622"
975, Dương Đình Nghệ,An Hải Bắc,sơn trà,30.0,191.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,20.0,3,"16.06888,108.24414"
976, Xô Viết Nghệ Tĩnh,Khuê Trung,cẩm lệ,14.0,94.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.5,4,"16.03153,108.21205"
977, Trịnh Đình Thảo,Khuê Trung,cẩm lệ,8.6,101.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.02612,108.21232"
978, Xô Viết Nghệ Tĩnh,Khuê Trung,cẩm lệ,14.0,94.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,"16.03153,108.21205"
979, Mạc Cửu,Khuê Mỹ,ngũ hành sơn,5.9,100.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.02598,108.24149"
980, Nguyễn Văn Linh,Thạc Gián,thanh khê,61.0,10.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,22.2,4,"16.05947,108.20843"
981, Hồ Nguyên Trừng,Hòa Cường Nam,hải châu,6.2,90.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3,"16.03157,108.21888"
982, Hoàng Dư Khương,Khuê Trung,cẩm lệ,5.8,117.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,23.0,3,"16.0267,108.212"
983, Nguyễn Sơn,Hòa Cường Nam,hải châu,12.0,127.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,19.0,2,"16.03095,108.22963"
984, Tú Quỳ,Hòa Minh,liên chiểu,3.55,85.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,2,"16.0528,108.1681"
985, Nguyễn Nhàn,Hòa Xuân,cẩm lệ,2.15,94.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,,,1,"16.01108,108.19622"
986, Triệu Quốc Đạt,Hòa Thọ Đông,cẩm lệ,2.35,78.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,13.0,2,"16.0165,108.1989"
987, 29/3,Hòa Xuân,cẩm lệ,7.65,116.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,23.0,1,"16.01893,108.19851"
988, Trường Chinh,Hòa An,cẩm lệ,2.99,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,2,"16.00735,108.19196"
989, Đinh Tiên Hoàng,Tam Thuận,thanh khê,3.8,100.0,Không,Nhà trong hẻm,Không có,5.0,20.0,2,"16.07516,108.20869"
990, Hoàng Diệu,Bình Thuận,hải châu,2.4,70.0,Không,Nhà trong hẻm,Không có,7.0,7.0,2,"16.05467,108.21737"
991, Cẩm Toại Trung,Xã Hòa Phong,hòa vang,1.48,43.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,13.5,18.0,1,"13.4233942,108.25662231"
992, Lê Trọng Tấn,Hòa Phát,cẩm lệ,2.4,65.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,"16.03512,108.18029"
993, Đặng Thùy Trâm,Hòa Thuận Tây,hải châu,5.4,100.0,Không,Nhà trong hẻm,Không có,5.0,20.0,3,"16.05255,108.20845"
994, Tiểu La,Hòa Cường Bắc,hải châu,4.1,90.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,20.0,2,"16.04649,108.22182"
995, Cù Chính Lan,Hòa Khê,thanh khê,2.25,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,15.0,2,"16.0714016,108.19120789"
996, Hoàng Sĩ Khải,An Hải Bắc,sơn trà,3.9,75.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,15.0,2,"16.07566,108.23193"
997, Ngô Quyền,Thọ Quang,sơn trà,2.65,75.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,12.0,2,"16.09631,108.24529"
998, Hoàng Diệu,Bình Hiên,hải châu,4.2,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,4,"16.05467,108.21737"
999, Núi Thành,Hòa Cường Bắc,hải châu,4.6,75.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,15.0,4,"16.03194,108.22279"
1000, Hà Huy Tập,An Khê,thanh khê,2.8,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,"16.0704,108.19171"
1001, Đặng Thùy Trâm,Hòa Thuận Tây,hải châu,4.8,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,20.0,3,"16.05255,108.20845"
1002, Phan Thanh,Hải Châu I,hải châu,3.1,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,"16.05403,108.22089"
1003, Nguyễn Đình Tứ,Hòa Minh,liên chiểu,3.2,1.0,Không,Nhà trong hẻm,Không có,7.0,18.0,1,"16.04884,108.17124"
1004, Nguyễn Văn Linh,Hải Châu I,hải châu,3.35,75.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,15.0,2,"16.06072,108.21685"
1005, Nguyễn Văn Linh,Nam Dương,hải châu,4.15,66.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,3,"16.06072,108.21685"
1006, Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,3.2,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,17.0,2,"16.07067,108.15084"
1007, Núi Thành,Hòa Cường Bắc,hải châu,4.5,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,15.0,3,"16.03194,108.22279"
1008, Cù Chính Lan,Hòa Khê,thanh khê,3.6,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,"16.0714016,108.19120789"
1009, Trần Cao Vân,An Khê,thanh khê,4.15,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,17.0,3,"16.0738,108.20758"
1010, Núi Thành,Hòa Cường Bắc,hải châu,4.4,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,15.0,3,"16.03194,108.22279"
1012, Tôn Đản,Hòa Phát,cẩm lệ,3.8,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,20.0,3,"16.04509,108.18114"
1013, Trần Cao Vân,Thạc Gián,thanh khê,3.6,40.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,10.0,3,"16.0738,108.20758"
1014, Tiểu La,Hòa Cường Nam,hải châu,3.9,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,13.0,4,"16.04649,108.22182"
1015, Tiểu La,Hòa Cường Bắc,hải châu,3.35,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,12.0,3,"16.04649,108.22182"
1016, Hoàng Thúc Trâm,Hòa Cường Bắc,hải châu,4.3,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,12.0,4,"16.04274,108.21396"
1017, Tô Hiệu,Hòa Minh,liên chiểu,3.0,65.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,13.0,2,"16.06424,108.16672"
1018, Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,3.0,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,14.0,2,"16.01108,108.19622"
1019, Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,3.0,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,14.0,2,"16.01108,108.19622"
1020, Hoàng Diệu,Hải Châu I,hải châu,16.5,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.05467,108.21737"
1021, Bế Văn Đàn,Chính Gián,thanh khê,7.4,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.06502,108.19853"
1022, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,5.1,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,14.0,3,"16.05375,108.21903"
1023, Nguyễn Phước Nguyên,An Khê,thanh khê,4.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.05452,108.18347"
1024, Nguyễn Tri Phương,Hải Châu I,hải châu,14.5,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,30.0,4,"16.05232,108.21081"
1025, Phạm Hùng,Hòa Xuân,cẩm lệ,6.5,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,1,"16.00192,108.207"
1026, Lê Hữu Trác,An Hải Đông,sơn trà,8.5,190.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,27.0,3,"16.05862,108.23956"
1027, Lê Thước,Phước Mỹ,sơn trà,40.0,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,17.0,12.0,8,"16.07695,108.24349"
1028, Trường Chinh,Hòa Phát,cẩm lệ,6.5,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,1,"16.00735,108.19196"
1029, Vũ Quỳnh,Thanh Khê Tây,thanh khê,3.85,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,1,"16.07717,108.17347"
1030, Ngô Quyền,An Hải Bắc,sơn trà,9.9,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2,"16.09631,108.24529"
1031, Vũ Lăng,Hòa Phát,cẩm lệ,5.9,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,9.0,4,"15.97871,108.21611"
1032, Trần Cao Vân,Tam Thuận,thanh khê,10.0,93.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,15.0,4,"16.0738,108.20758"
1033, Phùng Chí Kiên,Hòa Minh,liên chiểu,5.5,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3,"16.07763,108.16537"
1034, Nguyễn Lương Bằng,Hòa Khánh Bắc,liên chiểu,7.5,195.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,39.0,2,"16.08075,108.14674"
1035, Hòa An 8,Hòa An,cẩm lệ,3.0,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.05876,108.17509"
1036, Phước Trường 12,An Hải Bắc,sơn trà,6.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.07788,108.24183"
1037, Thanh Lương 10,Hòa Xuân,cẩm lệ,4.9,400.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.00666,108.21903"
1038, An Thượng 16,Mỹ An,ngũ hành sơn,5.0,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,2,"16.04784,108.2418"
1039, An Thượng 37,Mỹ An,ngũ hành sơn,11.8,65.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,5,"16.04693,108.24217"
1040, An Thượng 10,Mỹ An,ngũ hành sơn,8.2,100.0,Không,Nhà mặt tiền,Không có,,18.0,,"16.04825,108.2428"
1041, Nguyễn Quý Đức,Khuê Trung,cẩm lệ,4.6,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.01761,108.20814"
1042, Bàu Tràm 2,Hòa Cường Bắc,hải châu,5.7,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,2,"16.03293678,108.21136968"
1043, Tiên Sơn 8,Hòa Cường Nam,hải châu,7.2,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.03654,108.22015"
1044, An Thượng 18,Mỹ An,ngũ hành sơn,4.1,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,5,"16.04836,108.24055"
1045, Nguyễn Thanh Năm,An Khê,thanh khê,6.9,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,10.0,4,"16.03579,108.19075"
1046, Trường Chinh,Hòa An,cẩm lệ,3.3,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,2,"16.00735,108.19196"
1047, Ngô Quyền,An Hải Bắc,sơn trà,15.0,153.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,27.0,3,"16.09631,108.24529"
1048, Tiên Sơn 10,Hòa Cường Nam,hải châu,6.5,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,14.0,7.0,1,"16.03438,108.22172"
1049, Hoàng Đức Lương,An Hải Bắc,sơn trà,11.0,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,5,"16.07525,108.23292"
1050, Huỳnh Tịnh Của,Xã Hòa Châu,hòa vang,2.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"15.98954,108.20657"
1051, Huỳnh Thị Bảo Hòa,Hòa Khánh Nam,liên chiểu,3.5,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.05185,108.17088"
1052, Lưu Nhân Chú,Khuê Trung,cẩm lệ,4.7,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.02025,108.20802"
1053, Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,25.0,313.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,48.0,4,"16.07067,108.15084"
1054, Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,2,"16.03008,108.21299"
1055, Nguyễn Thuật,Hòa An,cẩm lệ,4.6,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,3,"16.0521,108.17708"
1056, Hoà Minh 15,Hòa Minh,liên chiểu,5.2,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3,"16.07962,108.16033"
1057, Phước Lý 6,Hòa Minh,liên chiểu,3.5,105.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.12865,108.1218"
1058, Lý Triện,An Khê,thanh khê,6.6,105.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3,"16.05945,108.18524"
1059, Thanh Lương 8,Hòa Xuân,cẩm lệ,5.7,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.00671,108.21899"
1060, Nguyễn Phước Nguyên,An Khê,thanh khê,4.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.05452,108.18347"
1061, Nguyễn Tri Phương,Hải Châu I,hải châu,14.5,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,30.0,4,"16.05232,108.21081"
1062, Phạm Hùng,Hòa Xuân,cẩm lệ,6.5,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,1,"16.00192,108.207"
1063, Lê Hữu Trác,An Hải Đông,sơn trà,8.5,190.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,27.0,3,"16.05862,108.23956"
1064, Lê Thước,Phước Mỹ,sơn trà,40.0,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,17.0,12.0,8,"16.07695,108.24349"
1065, Trường Chinh,Hòa Phát,cẩm lệ,6.5,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,1,"16.00735,108.19196"
1066, Vũ Quỳnh,Thanh Khê Tây,thanh khê,3.85,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,1,"16.07717,108.17347"
1067, Ngô Quyền,An Hải Bắc,sơn trà,9.9,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2,"16.09631,108.24529"
1068, Vũ Lăng,Hòa Phát,cẩm lệ,5.9,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,9.0,4,"15.97871,108.21611"
1069, Phùng Chí Kiên,Hòa Minh,liên chiểu,5.5,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3,"16.07763,108.16537"
1070, Trần Cao Vân,Tam Thuận,thanh khê,10.0,93.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,15.0,4,"16.0738,108.20758"
1071, Nguyễn Lương Bằng,Hòa Khánh Bắc,liên chiểu,7.5,195.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,39.0,2,"16.08075,108.14674"
1072, Hòa An 8,Hòa An,cẩm lệ,3.0,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.05876,108.17509"
1073, Phước Trường 12,An Hải Bắc,sơn trà,6.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.07788,108.24183"
1074, Thanh Lương 10,Hòa Xuân,cẩm lệ,4.9,400.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.00666,108.21903"
1075, An Thượng 16,Mỹ An,ngũ hành sơn,5.0,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,2,"16.04784,108.2418"
1076, An Thượng 37,Mỹ An,ngũ hành sơn,11.8,65.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,5,"16.04693,108.24217"
1077, An Thượng 10,Mỹ An,ngũ hành sơn,8.2,100.0,Không,Nhà mặt tiền,Không có,,18.0,,"16.04825,108.2428"
1078, Nguyễn Quý Đức,Khuê Trung,cẩm lệ,4.6,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.01761,108.20814"
1079, Bàu Tràm 2,Hòa Cường Bắc,hải châu,5.7,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,2,"16.03293678,108.21136968"
1080, Nguyễn Thanh Năm,An Khê,thanh khê,6.9,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,10.0,4,"16.03579,108.19075"
1081, An Thượng 18,Mỹ An,ngũ hành sơn,4.1,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,5,"16.04836,108.24055"
1082, Trường Chinh,Hòa An,cẩm lệ,3.3,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,2,"16.00735,108.19196"
1083, Ngô Quyền,An Hải Bắc,sơn trà,15.0,153.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,27.0,3,"16.09631,108.24529"
1084, Tiên Sơn 10,Hòa Cường Nam,hải châu,6.5,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,14.0,7.0,1,"16.03438,108.22172"
1085, Hoàng Đức Lương,An Hải Bắc,sơn trà,11.0,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,5,"16.07525,108.23292"
1086, Tiên Sơn 8,Hòa Cường Nam,hải châu,7.2,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.03654,108.22015"
1087, Huỳnh Tịnh Của,Xã Hòa Châu,hòa vang,2.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"15.98954,108.20657"
1088, Huỳnh Thị Bảo Hòa,Hòa Khánh Nam,liên chiểu,3.5,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.05185,108.17088"
1089, Lưu Nhân Chú,Khuê Trung,cẩm lệ,4.7,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.02025,108.20802"
1090, Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,25.0,313.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,48.0,4,"16.07067,108.15084"
1091, Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,2,"16.03008,108.21299"
1092, Nguyễn Thuật,Hòa An,cẩm lệ,4.6,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,3,"16.0521,108.17708"
1093, Phước Lý 6,Hòa Minh,liên chiểu,3.5,105.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.12865,108.1218"
1094, Hoà Minh 15,Hòa Minh,liên chiểu,5.2,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3,"16.07962,108.16033"
1095, Lý Triện,An Khê,thanh khê,6.6,105.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3,"16.05945,108.18524"
1096, Thanh Lương 8,Hòa Xuân,cẩm lệ,5.7,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.00671,108.21899"
1097, Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,2,"16.03008,108.21299"
1098, Văn Tiến Dũng,Hòa Xuân,cẩm lệ,6.7,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"15.98825,108.21377"
1099, Phước Lý 5,Hòa Minh,liên chiểu,3.75,113.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,23.0,3,"16.05916,108.1629"
1100, Thích Quảng Đức,Hòa Minh,liên chiểu,6.9,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,24.0,3,"16.05737,108.16324"
1101, Văn Tiến Dũng,Hòa Xuân,cẩm lệ,6.8,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3,"15.98825,108.21377"
1102, Phạm Xuân Ẩn,Hòa Xuân,cẩm lệ,4.75,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,3,"16.018268,108.210969"
1103, Nguyễn Hồng Ánh,Xã Hòa Châu,hòa vang,6.4,95.0,Không,Nhà mặt tiền,Không có,5.0,19.0,3,"15.99754,108.20015"
1104, Lê Duẩn,Tân Chính,thanh khê,2.75,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,"16.06965,108.2106"
1105, Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,2.6,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,20.0,2,"16.05849,108.15735"
1106, Hà Bổng,Phước Mỹ,sơn trà,3.8,50.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,12.0,3,"16.06664,108.24441"
1107, Ngô Chân Lưu,Hòa Minh,liên chiểu,3.35,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,17.5,3,"16.06015,108.16681"
1108, Đồng Kè,Hòa Khánh Bắc,liên chiểu,2.55,80.0,Không,Nhà trong hẻm,Không có,5.0,16.0,2,"16.07284,108.14639"
1109, Trường Chinh,Hòa Phát,cẩm lệ,1.75,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,16.0,1,"16.00735,108.19196"
1110, Tô Hiệu,Hòa Minh,liên chiểu,3.69,85.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,16.0,3,"16.06424,108.16672"
1111, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,5.95,13.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.8,23.0,3,"16.05375,108.21903"
1112, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,6.0,150.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,25.0,3,"16.05375,108.21903"
1113, Võ Duy Ninh,Thọ Quang,sơn trà,2.8,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,12.0,1,"16.09291,108.24852"
1114, Thái Thị Bôi,Chính Gián,thanh khê,2.55,65.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,"16.06831,108.1972"
1115, Trần Cao Vân,Xuân Hà,thanh khê,3.2,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,13.0,2,"16.0738,108.20758"
1116, Tôn Đản,Hòa An,cẩm lệ,2.15,60.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15.0,2,"16.04509,108.18114"
1117, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,3.65,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,18.0,1,"16.05375,108.21903"
1118, Trường Chinh,Hòa An,cẩm lệ,1.65,55.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,14.0,1,"16.00735,108.19196"
1119, Ngô Quyền,Thọ Quang,sơn trà,2.7,120.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,24.0,2,"16.09631,108.24529"
1120, Đồng Kè,Hòa Khánh Bắc,liên chiểu,3.15,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,22.0,2,"16.07284,108.14639"
1121, Nguyễn Như Đỗ,Hòa Thọ Tây,cẩm lệ,1.85,120.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,24.0,1,"15.99988736,108.18635632"
1122, Tô Hiệu,Hòa Minh,liên chiểu,3.69,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,16.0,2,"16.06424,108.16672"
1123, Tôn Đản,Hòa Phát,cẩm lệ,3.65,90.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,18.0,3,"16.04509,108.18114"
