Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Dương Thị Xuân Quý,Mỹ An,ngũ hành sơn,0.212882645,0.288989689,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,1.237458514,1,"16.04244,108.24356"
 Lê Độ,Chính Gián,thanh khê,-0.965669613,-0.247095434,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,0.373073266,-0.736436097,2,"16.07062,108.20136"
 Hùng Vương,Vĩnh Trung,thanh khê,-0.504484782,-0.890397581,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,-0.736436097,5,"16.06689,108.21214"
 Hải Phòng,Tân Chính,thanh khê,-0.965669613,-0.826067366,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,-0.953263456,-0.31345868,3,"16.07085,108.20893"
 Lê Hữu Trác,An Hải Đông,sơn trà,-0.126190251,-0.096991599,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,0.743984861,3,"16.05862,108.23956"
 Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,-1.578586691,0.653527572,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.005880084,0.391503681,2,"16.05849,108.15735"
 Dương Quảng Hàm,Khuê Trung,cẩm lệ,-0.031772946,-0.096991599,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.109518737,3,"16.03387,108.21396"
 Quách Thị Trang,Hòa Xuân,cẩm lệ,-0.228479697,0.331876499,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,3,"15.99703,108.2133"
 305 Yên Khê,Thanh Khê Đông,thanh khê,-0.594973102,-1.726690372,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,-1.088917277,3,"16.05781364,108.15126038"
 536.25.10 Điện Biên Phủ,Thanh Khê Đông,thanh khê,-1.535714738,-0.504416292,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.650100777,-0.172466208,2,"16.06533,108.20615"
 Võ Chí Công,Hòa Quý,ngũ hành sơn,-1.026926561,0.331876499,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,2,"15.9913,108.23725"
 24 An Trung 1,An Hải Tây,sơn trà,0.350345877,0.288989689,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,1,"16.05614,108.23502"
 Ngô Quyền,An Hải Đông,sơn trà,1.157977571,0.331876499,Không,Nhà mặt tiền,Giấy tờ hợp lệ,1.130979964,-0.720770266,2,"16.09631,108.24529"
 Nguyễn Tri Phương,Hòa Thuận Tây,hải châu,0.792683101,0.653527572,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.763786782,1.745031414,3,"16.05232,108.21081"
 Hoài Thanh,Mỹ An,ngũ hành sơn,1.469697183,0.975178646,Không,Nhà mặt tiền,Giấy tờ hợp lệ,1.509933313,-0.454451152,7,"16.04427,108.23848"
 Hoài Thanh,Mỹ An,ngũ hành sơn,1.496026011,0.975178646,Không,Nhà mặt tiền,Giấy tờ hợp lệ,1.509933313,-0.454451152,7,"16.04427,108.23848"
 Nguyễn Văn Thoại,An Hải Đông,sơn trà,1.771690057,0.632084167,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.183596591,0.461999917,3,"16.05747,108.24433"
 Phần Lăng 9,Hòa Khê,thanh khê,-0.594973102,-0.075548194,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,0.250511209,1,"16.05747,108.18768"
 Nguyễn Trung Trực,Nại Hiên Đông,sơn trà,0.471802797,0.331876499,Không,Nhà mặt tiền,Không có,0.373073266,-0.031473736,1,"16.08582,108.22967"
 Cao Bá Quát,An Hải Tây,sơn trà,-0.126190251,-0.440086078,Không,Nhà mặt tiền,Không có,-0.612205442,-0.242962444,1,"16.06433,108.23061"
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,-0.691678415,-0.075548194,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,-0.384833433,-0.031473736,3,"16.10053,108.25114"
 Hoài Thanh,Mỹ An,ngũ hành sơn,1.490851004,0.975178646,Không,Nhà mặt tiền,Giấy tờ hợp lệ,1.509933313,-0.383954916,7,"16.04427,108.23848"
 Dương Quảng Hàm,Hòa Cường Nam,hải châu,-0.001883917,-0.225652029,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,-0.574310107,0.067220995,3,"16.05067825,108.21286774"
 Hoà Minh 21,Hòa Minh,liên chiểu,-0.301588811,-1.662360157,Không,Nhà mặt tiền,Không có,-0.384833433,-2.08996383,3,"16.07795,108.16094"
 Phạm Như Xương,Hòa Khánh Nam,liên chiểu,-0.666881741,0.632084167,Không,Nhà mặt tiền,Không có,0.752026615,-0.278210562,1,"16.06383,108.14822"
 Lưu Trọng Lư,Hòa Cường Bắc,hải châu,0.110565341,-0.311425648,Không,Nhà mặt tiền,Không có,-0.384833433,-0.31345868,4,"16.03176,108.23118"
 Thái Thị Bôi,Chính Gián,thanh khê,-0.666881741,-0.740293746,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.384833433,-0.877428569,3,"16.06831,108.1972"
 Nguyễn Thị Minh Khai,Thạch Thang,hải châu,1.430828264,-0.525859697,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.655759842,-1.195230297,4,"16.0744,108.21805"
 Phạm Phú Thứ,Hải Châu I,hải châu,1.318376653,-0.568746507,Không,Nhà mặt tiền,Không có,-0.498519437,-0.524947388,4,"16.06744,108.22425"
 Phạm Tu,Phước Mỹ,sơn trà,-0.093892632,-0.611633317,Không,Nhà mặt tiền,Không có,-0.763786782,-0.031473736,3,"16.06653,108.24049"
 Mỹ Đa Đông 5,Mỹ An,ngũ hành sơn,0.412882108,-0.354312458,Không,Nhà mặt tiền,Không có,-0.763786782,0.109518737,5,"16.04262,108.24301"
 Trần Bình Trọng,Hải Châu I,hải châu,1.469697183,0.546310548,Không,Nhà mặt tiền,Không có,0.069910586,0.109518737,4,"16.066,108.21872"
 Bùi Viện,Hòa Cường Nam,hải châu,0.974592877,0.07455564,Không,Nhà mặt tiền,Không có,-0.384833433,0.180014973,5,"16.03097,108.2322"
 Phùng Chí Kiên,Hòa Minh,liên chiểu,-0.339758339,0.11744245,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.250511209,3,"16.07763,108.16537"
 Trần Lê,Hòa Xuân,cẩm lệ,0.722323389,0.331876499,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.532496153,3,"16.00704,108.21649"
 Đa Phước 4,Khuê Mỹ,ngũ hành sơn,1.872441693,0.095999045,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,3.404700059,0.433801423,3,"16.02563,108.23957"
 278 Trần Cao Vân,Tam Thuận,thanh khê,-2.512547759,-1.040501415,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,-1.142740131,-0.595443624,1,"16.07252,108.2031"
 376 Trần Cao Vân,Thanh Khê Đông,thanh khê,-0.906740864,-0.590189912,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,-0.384833433,-0.595443624,3,"16.07105,108.19999"
 Tống Duy Tân,Hòa Minh,liên chiểu,-1.261989845,-0.418642673,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,0.003774382,2,"16.05959,108.16943"
 141 Tiểu La,Hòa Cường Bắc,hải châu,-0.062431679,0.224659474,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,0.373073266,-0.383954916,3,"16.04468,108.21638"
 Hoàng Minh Thảo,Hòa Khánh Nam,liên chiểu,-0.423712953,0.481980333,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,1.509933313,-0.454451152,3,"16.04687,108.16397"
 Bình Kỳ,Hòa Quý,ngũ hành sơn,-0.666881741,-0.740293746,Không,Nhà mặt tiền,Giấy tờ hợp lệ,0.373073266,2.788375708,1,"16.01624489,108.25408173"
 Dũng Sĩ Thanh Khê,Thanh Khê Đông,thanh khê,-1.452973948,-0.525859697,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,-0.172466208,2,"16.07597,108.17332"
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,-1.963400424,-0.525859697,Không,Nhà trong hẻm,Giấy tờ hợp lệ,0.373073266,-1.078846386,1,"16.05375,108.21903"
 Lê Duẩn,Tân Chính,hải châu,-0.995997861,-0.525859697,Không,Nhà trong hẻm,Giấy tờ hợp lệ,-0.763786782,-0.172466208,2,"16.07148,108.22157"
 Dương Vân Nga,Nại Hiên Đông,sơn trà,1.318376653,1.404046744,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.678420154,-1.280264204,6,"16.09172,108.23162"
 Ngô Thì Sĩ,Mỹ An,ngũ hành sơn,1.370711273,0.460536928,Không,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.70168712,4,"16.04771,108.24537"
 Trường Thi 4 Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,0.188171989,0.11744245,Không,Nhà mặt tiền,Không có,-0.384833433,0.250511209,3,"16.06008,108.21539"
 Đinh Núp,An Khê,thanh khê,-0.093892632,-0.075548194,Không,Nhà mặt tiền,Không có,-0.574310107,0.250511209,3,"16.06318,108.18303"
 Lê Thanh Nghị,Hòa Cường Nam,hải châu,1.122879687,-0.311425648,Không,Nhà mặt tiền,Không có,-0.384833433,-0.31345868,4,"16.03029,108.21903"
 Phạm Nhữ Tăng,Hòa Khê,thanh khê,0.055706269,-0.204208624,Không,Nhà mặt tiền,Không có,-0.434097368,-0.101969972,3,"16.06307,108.18955"
 Sơn Thủy 2,Hòa Hải,ngũ hành sơn,-0.159361059,0.653527572,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.384833433,0.95547357,2,"16.01371,108.25355"
 Điện Biên Phủ,Chính Gián,thanh khê,-0.74258305,-0.954727795,Không,Nhà trong hẻm,Không có,0.117111242,-1.395638601,3,"16.06715,108.196"
 Đỗ Bá,Mỹ An,ngũ hành sơn,1.122879687,-0.289982243,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,1.888886662,-1.37731097,2,"16.05193,108.24696"
 Hùng Vương,Hải Châu II,hải châu,0.974592877,-0.332869053,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,-0.896420454,0.321007445,1,"16.06859,108.221"
