,Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location,Latitude,Longitude,DistanceToCenter,DistanceToBeach
2158, Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,34.0,41.0,Không,Nhà mặt tiền,Không có,12.0,35.0,2.0,"16.04376,108.24501",16.04376,108.24501,2.751700198516859,2.9644869430945207
2159, Lê Thanh Nghị,Hòa Cường Bắc,hải châu,9.0,70.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3.0,"16.03029,108.21903",16.03029,108.21903,3.5347103066850187,5.315790252705184
2160, Nguyễn Thiện Kế,An Hải Đông,sơn trà,5.0,78.0,Không,Nhà mặt tiền,Không có,5.0,15.6,1.0,"16.06034,108.23891",16.06034,108.23891,1.3031913239134607,1.3571462409089154
2161, Thanh Thủy,Thanh Bình,hải châu,6.2,60.0,Không,Nhà mặt tiền,Không có,5.0,12.0,3.0,"16.08232,108.21374",16.08232,108.21374,2.7284717180853924,3.703121017211899
2162, An Dương Vương,Mỹ An,ngũ hành sơn,5.7,100.0,Không,Nhà mặt tiền,Không có,4.5,22.0,2.0,"16.04387,108.23749",16.04387,108.23749,2.2432839247436123,3.09011377239576
2163, Nam Sơn 1,Hòa Cường Bắc,hải châu,11.0,133.0,Không,Nhà mặt tiền,Không có,7.5,16.0,3.0,"16.03731345,108.2208409",16.037313,108.22084,2.7302784043177724,4.563016739765799
2164, Nguyễn Hữu Dật,Hòa Cường Bắc,hải châu,12.5,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.04199,108.21356",16.04199,108.21356,2.558953632344226,4.697698643563127
2165, Hóa Mỹ,Khuê Trung,cẩm lệ,5.9,81.0,Không,Nhà mặt tiền,Không có,4.5,18.0,3.0,"16.03008,108.21299",16.03008,108.21299,3.7598300227709647,5.711265952358299
2166, Nguyễn Thành Ý,Hòa Cường Nam,hải châu,5.65,76.0,Không,Nhà mặt tiền,Không có,4.0,19.0,3.0,"16.03156,108.22876",16.03156,108.22876,3.3030828185168915,4.699446567988861
2167, Bắc Đẩu,Thanh Bình,hải châu,5.7,56.0,Không,Nhà mặt tiền,Không có,4.2,11.0,3.0,"16.07666,108.2099",16.07666,108.2099,2.4886554844065203,3.930046431656954
2168, Trưng Nữ Vương,Hòa Thuận Đông,hải châu,8.5,35.0,Không,Nhà mặt tiền,Không có,3.8,10.3,5.0,"16.05375,108.21903",16.05375,108.21903,1.1687712007841293,3.434155989137878
2169, Tiểu La,Hòa Cường Bắc,hải châu,12.0,95.0,Không,Nhà mặt tiền,Không có,5.0,19.0,4.0,"16.04649,108.22182",16.04649,108.22182,1.718670265795475,3.715051426881821
2170, Cao Xuân Dục,Thuận Phước,hải châu,5.7,58.0,Không,Nhà mặt tiền,Không có,4.0,14.5,2.0,"16.08809,108.21715",16.08809,108.21715,3.160725216554126,3.6658847778487136
2171, Ngô Thì Sĩ,Mỹ An,ngũ hành sơn,14.2,105.0,Không,Nhà mặt tiền,Không có,5.0,20.5,2.0,"16.04771,108.24537",16.04771,108.24537,2.4923756447283036,2.5241753543766112
2172, Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,13.5,115.0,Không,Nhà mặt tiền,Không có,5.0,22.9,3.0,"16.04978,108.24072",16.04978,108.24072,1.9607669203305556,2.3637532744176406
2173, Nguyễn Thị Minh Khai,Thạch Thang,hải châu,8.0,41.0,Không,Nhà mặt tiền,Không có,5.12,8.3,3.0,"16.0744,108.21805",16.0744,108.21805,1.7368685807928506,3.030127530241741
2174, Thanh Huy 3,Thanh Khê Đông,thanh khê,6.7,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,3.0,"16.06220436,108.19241333",16.062204,108.19241,3.6700710210892815,5.808457216116613
2175, Tạ Mỹ Duật,An Hải Bắc,sơn trà,7.7,88.0,Không,Nhà mặt tiền,Không có,5.0,17.5,3.0,"16.06909,108.23592",16.06909,108.23592,1.3157603758216445,1.0970461927464363
2176, Trần Tấn Mới,Hòa Thuận Tây,hải châu,4.8,8.0,Không,Nhà mặt tiền,Không có,4.5,18.0,1.0,"16.04111,108.20855",16.04111,108.20855,2.9618315801647412,5.168041102759702
2177, Phan Đăng Lưu,Hòa Cường Nam,hải châu,8.9,5.0,Không,Nhà mặt tiền,Không có,4.2,12.0,1.0,"16.03665,108.21825",16.03665,108.21825,2.877250592059999,4.789874082924726
2178, Hà Kỳ Ngộ,Mân Thái,sơn trà,16.0,93.0,Không,Nhà mặt tiền,Không có,5.0,18.5,7.0,"16.09631,108.24529",16.09631,108.24529,4.37794592535801,2.882313946681588
2179, Thạch Lam,Phước Mỹ,sơn trà,6.8,5.0,Không,Nhà mặt tiền,Không có,4.0,12.79,4.0,"16.05732,108.24438",16.05732,108.24438,1.9330471456537837,1.466073695207964
2180, Phạm Nhữ Tăng,Hòa Khê,thanh khê,6.0,60.0,Không,Nhà mặt tiền,Không có,4.0,15.0,3.0,"16.06307,108.18955",16.06307,108.18955,3.979506105682254,6.09693544321585
2181, Bình Hòa 14,Khuê Trung,cẩm lệ,4.7,80.0,Không,Nhà mặt tiền,Không có,5.0,16.0,2.0,"16.02302,108.21231",16.02302,108.21231,4.51726106422462,6.387041208691125
2182, Nguyễn Văn Linh,Thạc Gián,thanh khê,4.09,55.0,Không,Nhà mặt tiền,Không có,5.0,11.0,2.0,"16.05947,108.20843",16.05947,108.20843,1.9666907030283522,4.204909027902376
2183, Núi Thành,Hòa Cường Nam,hải châu,8.3,60.0,Không,Nhà mặt tiền,Không có,6.0,10.0,2.0,"16.03194,108.22279",16.03194,108.22279,3.2811165281246937,4.94885968841344
2184, An Trung Đông 6,An Hải Bắc,sơn trà,4.8,51.0,Không,Nhà mặt tiền,Không có,4.65,11.0,3.0,"16.05975,108.23535",16.05975,108.23535,0.9338514758735228,1.649709984216639
2185, Lê Ngân,Khuê Trung,cẩm lệ,6.9,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.02878,108.21122",16.02878,108.21122,3.9686502997159776,5.942285992015756
2186, Bùi Hữu Nghĩa,Phước Mỹ,sơn trà,5.0,66.0,Không,Nhà mặt tiền,Không có,4.1,16.0,3.0,"16.06569,108.24129",16.06569,108.24129,1.6320933868805185,0.7340636244242488
2187, Bùi Hữu Nghĩa,Phước Mỹ,sơn trà,9.2,64.0,Không,Nhà mặt tiền,Không có,4.0,16.0,6.0,"16.06569,108.24129",16.06569,108.24129,1.6320933868805185,0.7340636244242488
2188, Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,4.5,5.0,Không,Nhà mặt tiền,Không có,4.5,11.94,3.0,"16.04088,108.21625",16.04088,108.21625,2.5228474638369423,4.5771537671845755
2189, Nguyễn Bá Lân,Mỹ An,ngũ hành sơn,7.5,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.04229,108.24184",16.04229,108.24184,2.6502705496993366,3.1587454620598856
2190, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,9.5,50.0,Không,Nhà mặt tiền,Không có,4.5,11.0,5.0,"16.03954,108.21035",16.03954,108.21035,2.978553828367126,5.135096527646907
2191, Hoàng Xuân Nhị,Hòa Cường Nam,hải châu,6.0,7.0,Không,Nhà mặt tiền,Không có,5.0,14.5,3.0,"16.03424,108.21715",16.03424,108.21715,3.168594737064748,5.073255837005492
2192, Lê Bôi,An Hải Bắc,sơn trà,5.4,60.0,Không,Nhà mặt tiền,Không có,4.0,15.0,2.0,"16.08276,108.24726",16.08276,108.24726,3.2483090773505032,1.3799408027636435
2193, An Thượng 15,Mỹ An,ngũ hành sơn,6.5,67.0,Không,Nhà mặt tiền,Không có,4.5,14.5,2.0,"16.04751,108.24199",16.04751,108.24199,2.2298214375367524,2.582863099441096
2194, Nguyễn Duy Hiệu,An Hải Đông,sơn trà,9.0,14.0,Không,Nhà mặt tiền,Không có,5.93,23.0,1.0,"16.05584,108.23943",16.05584,108.23943,1.481289923582385,1.7688360052266174
2195, Bình Thái 1,Hòa Thọ Đông,cẩm lệ,5.55,138.0,Không,Nhà mặt tiền,Không có,5.8,20.0,2.0,"16.01414,108.20538",16.01414,108.20538,5.709464405241696,7.620320826393287
2196, Nguyễn Lộ Trạch,Hòa Cường Nam,hải châu,9.0,11.0,Không,Nhà mặt tiền,Không có,5.0,22.0,3.0,"16.03258,108.22856",16.03258,108.22856,3.1887164719081382,4.6041702016350765
2197, Trần Xuân Lê,Hòa Khê,thanh khê,5.5,81.0,Không,Nhà mặt tiền,Không có,4.5,18.0,2.0,"16.059,108.18735",16.059,108.18735,4.216851854675972,6.404574902261105
2198, Lê Đình Lý,Vĩnh Trung,thanh khê,6.0,120.0,Không,Nhà mặt tiền,Không có,5.45,18.0,3.0,"16.05515,108.21073",16.05515,108.21073,1.8386931165104083,4.142294990096658
2199, An Thượng 16,Mỹ An,ngũ hành sơn,4.8,65.0,Không,Nhà mặt tiền,Không có,5.0,13.0,1.0,"16.04784,108.2418",16.04784,108.2418,2.1899143474715204,2.5503085180751612
2200, Lê Hữu Trác,An Hải Đông,sơn trà,4.5,81.0,Không,Nhà mặt tiền,Không có,3.5,23.0,1.0,"16.05862,108.23956",16.05862,108.23956,1.399554770731786,1.4844338058625057
2201, Phan Thúc Duyện,Mỹ An,ngũ hành sơn,18.9,103.0,Không,Nhà mặt tiền,Không có,6.77,15.7,5.0,"16.05316,108.24145",16.05316,108.24145,1.8078872335534588,1.9804460128132022
2202, Phước Trường 4,Phước Mỹ,sơn trà,8.4,80.0,Không,Nhà mặt tiền,Không có,5.0,16.0,3.0,"16.08249,108.24498",16.08249,108.24498,3.065906774252496,1.3497656726493823
2203, Kỳ Đồng,Xuân Hà,thanh khê,8.0,85.0,Không,Nhà mặt tiền,Không có,5.0,17.0,3.0,"16.0714016,108.19120789",16.071402,108.19121,3.9628276787713803,5.866247575126989
2204, Bình Hòa 4,Khuê Trung,cẩm lệ,8.3,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,4.0,"16.02489905,108.21239205",16.024899,108.212395,4.31830321265826,6.21062890701965
2205, Nguyễn Hữu Thọ,Khuê Trung,cẩm lệ,16.0,125.0,Không,Nhà mặt tiền,Không có,5.0,25.0,3.0,"16.02728,108.20888",16.02728,108.20888,4.227662200236062,6.229776844312816
2206, Phạm Đình Hổ,Hòa Minh,liên chiểu,8.0,140.0,Không,Nhà mặt tiền,Không có,7.0,20.0,3.0,"16.07941,108.16714",16.07941,108.16714,6.683024416467005,8.49624821889253
2207, Huỳnh Ngọc Huệ,An Khê,thanh khê,8.7,99.0,Không,Nhà mặt tiền,Không có,4.5,22.0,2.0,"16.06024,108.18557",16.06024,108.18557,4.400971655366559,6.565731175845809
2208, Phạm Phú Tiết,Khuê Trung,cẩm lệ,7.95,98.0,Không,Nhà mặt tiền,Không có,5.0,19.5,4.0,"16.03402,108.2086",16.03402,108.2086,3.590915913265817,5.693864790992399
2209, Bình An 7,Hòa Cường Bắc,hải châu,5.5,88.0,Không,Nhà mặt tiền,Không có,6.48,13.6,1.0,"16.03699,108.21576",16.03699,108.21576,2.937207659363021,4.930892532447074
2210, Phan Văn Trị,Khuê Trung,cẩm lệ,6.0,105.0,Không,Nhà mặt tiền,Không có,5.5,19.0,3.0,"16.01724,108.20838",16.01724,108.20838,5.267560056160197,7.154542162893546
2211, Bình Thái 1,Hòa Thọ Đông,cẩm lệ,3.1,65.0,Không,Nhà mặt tiền,Không có,6.5,10.0,1.0,"16.01414,108.20538",16.01414,108.20538,5.709464405241696,7.620320826393287
2212, Bình Thái 1,Hòa Thọ Đông,cẩm lệ,6.1,34.0,Không,Nhà mặt tiền,Không có,9.0,26.0,2.0,"16.01414,108.20538",16.01414,108.20538,5.709464405241696,7.620320826393287
2213, Lưu Quý Kỳ,Hòa Cường Nam,hải châu,6.5,60.0,Không,Nhà mặt tiền,Không có,4.5,13.5,3.0,"16.03605,108.22335",16.03605,108.22335,2.8202087433950664,4.527464638310286
2214, Phạm Thế Hiển,Khuê Trung,cẩm lệ,4.2,74.0,Không,Nhà mặt tiền,Không có,4.5,16.5,1.0,"16.03365,108.21214",16.03365,108.21214,3.4382403169168825,5.46500474182945
2215, Bùi Xương Tự,Hòa Thọ Đông,cẩm lệ,4.15,109.0,Không,Nhà mặt tiền,Không có,5.0,22.0,2.0,"16.00991,108.19665",16.00991,108.19665,6.547848135539799,8.553913994483773
2216, Nguyễn Dữ,Khuê Trung,cẩm lệ,4.2,104.0,Không,Nhà mặt tiền,Không có,5.0,20.8,1.0,"16.03418,108.20816",16.03418,108.20816,3.601786723747281,5.714668789784826
2217, Phạm Phú Tiết,Khuê Trung,cẩm lệ,7.9,95.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.03402,108.2086",16.03402,108.2086,3.590915913265817,5.693864790992399
2218, Cao Xuân Huy,Khuê Trung,cẩm lệ,4.5,75.0,Không,Nhà mặt tiền,Không có,4.5,17.5,1.0,"16.03382,108.21357",16.03382,108.21357,3.354648416569597,5.350624174190718
2219, Nguyễn Đổng Chi,Hòa Cường Bắc,hải châu,7.5,80.0,Không,Nhà mặt tiền,Không có,5.0,16.0,3.0,"16.03837,108.21753",16.03837,108.21753,2.7231641275247638,4.69101364466436
2220, Nguyễn Sơn Hà,Hòa Cường Bắc,hải châu,6.6,85.0,Không,Nhà mặt tiền,Không có,5.0,17.0,1.0,"16.04551,108.21667",16.04551,108.21667,2.0505395077190705,4.18948751629039
2221, Hàn Thuyên,Hòa Cường Bắc,hải châu,8.0,103.0,Không,Nhà mặt tiền,Không có,4.5,24.0,3.0,"16.03936,108.21621",16.03936,108.21621,2.677025343637635,4.702626927549181
2222, Phan Huy Ôn,Hòa Cường Nam,hải châu,4.95,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,4.0,"16.03854,108.21902",16.03854,108.21902,2.6518509533642525,4.574501252864299
2223, Vũ Trọng Phụng,Hòa Cường Nam,hải châu,6.2,70.0,Không,Nhà mặt tiền,Không có,4.0,17.5,3.0,"16.03277,108.2318",16.03277,108.2318,3.207355015043449,4.4546854515512235
2224, Trần Phước Thành,Khuê Trung,cẩm lệ,6.6,80.0,Không,Nhà mặt tiền,Không có,5.0,15.5,3.0,"16.02417,108.21229",16.02417,108.21229,4.398132067960734,6.2833666585612455
2225, Hoàng Dư Khương,Khuê Trung,cẩm lệ,6.5,85.0,Không,Nhà mặt tiền,Không có,5.0,16.8,4.0,"16.0267,108.212",16.0267,108.212,4.147671063840655,6.073971326180615
2226, Phùng Chí Kiên,Hòa Minh,liên chiểu,4.75,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3.0,"16.07763,108.16537",16.07763,108.16537,6.8077300507801946,8.663497608299076
2227, Yên Khê 1,Thanh Khê Tây,thanh khê,5.4,70.0,Không,Nhà mặt tiền,Không có,5.78,13.0,2.0,"16.0714016,108.19120789",16.071402,108.19121,3.9628276787713803,5.866247575126989
2228, Trần Thủ Độ,Khuê Trung,cẩm lệ,8.0,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.02417,108.21349",16.02417,108.21349,4.354554927269142,6.210185506001236
2229, Chu Mạnh Trinh,Khuê Trung,cẩm lệ,4.7,76.0,Không,Nhà mặt tiền,Không có,4.5,16.8,3.0,"16.03377,108.21313",16.03377,108.21313,3.3797424406328114,5.385634251684387
2230, Thanh Thủy,Thanh Bình,hải châu,7.3,60.0,Không,Nhà mặt tiền,Không có,5.0,12.0,3.0,"16.08232,108.21374",16.08232,108.21374,2.7284717180853924,3.703121017211899
2231, Lương Văn Can,Khuê Trung,cẩm lệ,5.0,85.0,Không,Nhà mặt tiền,Không có,5.0,17.0,2.0,"16.02266,108.21062",16.02266,108.21062,4.619388472858928,6.52365921825819
2232, Lê Thiệt,Hòa Minh,liên chiểu,4.6,7.0,Không,Nhà mặt tiền,Không có,4.5,16.0,3.0,"16.08254,108.16033",16.08254,108.16033,7.482223029946445,9.262931706052827
2233, Nguyễn Xí,Hòa Minh,liên chiểu,5.2,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.07298,108.16737",16.07298,108.16737,6.477581032072542,8.41672413832623
2234, Phạm Ngọc Mậu,An Khê,thanh khê,4.8,78.0,Không,Nhà mặt tiền,Không có,6.0,13.0,2.0,"16.06782,108.19025",16.06782,108.19025,3.9686464635088394,5.974852225957122
2235, Đỗ Quang,Vĩnh Trung,thanh khê,10.5,65.0,Không,Nhà mặt tiền,Không có,4.5,14.5,3.0,"16.06012,108.21207",16.06012,108.21207,1.5729666239403046,3.8119819221843274
2236, Cần Giuộc,Hòa Khê,thanh khê,6.75,105.0,Không,Nhà mặt tiền,Không có,5.0,21.0,3.0,"16.05659,108.18494",16.05659,108.18494,4.496736499966759,6.713527970033814
2237, Huỳnh Tấn Phát,Hòa Cường Bắc,hải châu,11.0,95.0,Không,Nhà mặt tiền,Không có,5.0,19.5,3.0,"16.03781,108.21405",16.03781,108.21405,2.9336840727645823,4.986167830104097
2238, Hồ Tông Thốc,Hòa Cường Bắc,hải châu,6.1,93.0,Không,Nhà mặt tiền,Không có,5.0,18.5,2.0,"16.04054,108.21227",16.04054,108.21227,2.769493562519208,4.908146541368053
2239, Trần Cao Vân,Thanh Khê Đông,thanh khê,7.9,66.0,Không,Nhà mặt tiền,Không có,4.3,15.3,3.0,"16.0738,108.20758",16.0738,108.20758,2.4808404610762738,4.133072772245373
2240, Lê Anh Xuân,Hòa Cường Nam,hải châu,4.6,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,3.0,"16.03115,108.22698",16.03115,108.22698,3.3417470674378875,4.8187975440740525
2241, Lưu Trọng Lư,Hòa Cường Nam,hải châu,5.9,70.0,Không,Nhà mặt tiền,Không có,4.0,17.5,4.0,"16.03176,108.23118",16.03176,108.23118,3.308108317018696,4.582987993552255
2242, Trần Đức Thảo,Hòa Cường Nam,hải châu,6.85,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,1.0,"16.03412,108.21587",16.03412,108.21587,3.227703327502406,5.167837122963335
2243, Nguyễn Sơn,Hòa Cường Nam,hải châu,7.7,90.0,Không,Nhà mặt tiền,Không có,5.0,16.0,3.0,"16.03095,108.22963",16.03095,108.22963,3.3780224795860154,4.7265016949912475
2244, Phạm Văn Bạch,Hòa Cường Nam,hải châu,4.8,76.0,Không,Nhà mặt tiền,Không có,4.0,19.0,1.0,"16.03197,108.22656",16.03197,108.22656,3.250722516116284,4.756060878052143
2245, Phùng Chí Kiên,Hòa Minh,liên chiểu,3.75,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,2.0,"16.07763,108.16537",16.07763,108.16537,6.8077300507801946,8.663497608299076
2246, Ngô Tất Tố,Hòa Cường Bắc,hải châu,8.0,78.0,Không,Nhà mặt tiền,Không có,4.5,17.5,3.0,"16.03835,108.21583",16.03835,108.21583,2.796172051979882,4.8130433716607985
2247, Mẹ Nhu,Thanh Khê Tây,thanh khê,6.3,110.0,Không,Nhà mặt tiền,Không có,5.0,22.0,3.0,"16.0669,108.17988",16.0669,108.17988,5.0476637427744615,7.086530069957269
2248, Huy Cận,Hòa Cường Nam,hải châu,5.7,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,3.0,"16.03315,108.21869",16.03315,108.21869,3.235967640353583,5.07309991421431
2249, Phan Huy Thực.,Nại Hiên Đông,sơn trà,11.7,15.0,Không,Nhà mặt tiền,Không có,7.5,20.5,5.0,"16.09556,108.22842",16.09556,108.22842,3.824509126193925,3.3758945472667734
2250, Trần Cao Vân,Xuân Hà,thanh khê,6.6,59.0,Không,Nhà mặt tiền,Không có,4.5,13.0,3.0,"16.0738,108.20758",16.0738,108.20758,2.4808404610762738,4.133072772245373
2251, Lê Doãn Nhạ,Hòa Minh,liên chiểu,6.5,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.06767,108.15398",16.06767,108.15398,7.808613662552023,9.848117504038795
2252, Tô Ngọc Vân,Vĩnh Trung,thanh khê,5.0,54.0,Không,Nhà mặt tiền,Không có,5.0,10.8,3.0,"16.06251,108.21117",16.06251,108.21117,1.6708630411243381,3.834448320689249
2253, Ông Ích Khiêm,Thanh Bình,hải châu,8.6,4.0,Không,Nhà mặt tiền,Không có,4.0,10.5,4.0,"16.07838,108.21186",16.07838,108.21186,2.485425078279136,3.764477924665015
2254, Hà Tông Quyền,Khuê Trung,cẩm lệ,8.1,125.0,Không,Nhà mặt tiền,Không có,5.0,25.0,3.0,"16.0211,108.20662",16.0211,108.20662,4.950864193392729,6.917559533671654
2255, Bình Hòa 7,Khuê Trung,cẩm lệ,9.6,131.0,Không,Nhà mặt tiền,Không có,7.0,19.0,3.0,"16.0234,108.21342",16.0234,108.21342,4.438279381360904,6.285824906038911
2256, Bế Văn Đàn,Chính Gián,thanh khê,5.95,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3.0,"16.06502,108.19853",16.06502,108.19853,3.044268626088037,5.117772905408357
2257, Tôn Thất Tùng,Vĩnh Trung,thanh khê,8.0,115.0,Không,Nhà mặt tiền,Không có,5.0,23.0,3.0,"16.0581,108.21239",16.0581,108.21239,1.5724434785891213,3.8532355168891663
2258, Phạm Cự Lượng,An Hải Đông,sơn trà,22.6,6.0,Không,Nhà mặt tiền,Không có,7.66,21.19,,"16.06044,108.23629",16.06044,108.23629,1.0235555465417798,1.52489914186689
2259, Phan Đăng Lưu,Hòa Cường Bắc,hải châu,14.75,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.03665,108.21825",16.03665,108.21825,2.877250592059999,4.789874082924726
2260, Thân Nhân Trung,Hòa Khê,thanh khê,5.6,81.0,Không,Nhà mặt tiền,Không có,4.5,16.0,3.0,"16.06322,108.19147",16.06322,108.19147,3.7761211943956097,5.891949983784903
2261, Trần Can,An Khê,thanh khê,5.6,85.0,Không,Nhà mặt tiền,Không có,5.0,17.0,3.0,"16.0738,108.20758",16.0738,108.20758,2.4808404610762738,4.133072772245373
2262, Lê Đại,Hòa Cường Bắc,hải châu,7.0,8.0,Không,Nhà mặt tiền,Không có,5.0,16.5,3.0,"16.03815,108.21352",16.03815,108.21352,2.9272029298631783,4.998228448558951
2263, Lê Đình Lý,Hòa Thuận Đông,hải châu,9.0,73.0,Không,Nhà mặt tiền,Không có,4.5,16.29,3.0,"16.0516,108.20992",16.0516,108.20992,2.0907449146514416,4.394764673435825
2264, Thủ Khoa Huân,An Hải Đông,sơn trà,21.2,34.0,Không,Nhà mặt tiền,Không có,12.0,28.0,1.0,"16.05639,108.24142",16.05639,108.24142,1.6566851256439354,1.636155995974413
2265, Chi Lăng,Hải Châu I,hải châu,24.5,115.0,Không,Nhà mặt tiền,Không có,5.0,23.0,6.0,"16.06903,108.21546",16.06903,108.21546,1.4869206602559712,3.277239164583838
2266, Đào Trí,Hòa Cường Nam,hải châu,4.4,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3.0,"16.02708,108.22281",16.02708,108.22281,3.817477789300096,5.421928926944107
2267, Hoàng Dư Khương,Khuê Trung,cẩm lệ,6.0,84.0,Không,Nhà mặt tiền,Không có,5.0,16.8,3.0,"16.0267,108.212",16.0267,108.212,4.147671063840655,6.073971326180615
2268, Mai Am,Thuận Phước,hải châu,7.9,105.0,Không,Nhà mặt tiền,Không có,7.0,15.0,3.0,"16.08628,108.21645",16.08628,108.21645,2.99746708057819,3.626553974545848
2269, Tân An 2,Hòa Cường Bắc,hải châu,5.6,75.0,Không,Nhà mặt tiền,Không có,4.5,16.5,3.0,"16.03867,108.21342",16.03867,108.21342,2.8820433763981868,4.964450559605522
2270, Núi Thành,Hòa Cường Nam,hải châu,14.5,115.0,Không,Nhà mặt tiền,Không có,3.5,32.8,2.0,"16.03194,108.22279",16.03194,108.22279,3.2811165281246937,4.94885968841344
2271, Lý Nhân Tông,Khuê Trung,cẩm lệ,8.1,9.0,Không,Nhà mặt tiền,Không có,5.0,18.5,3.0,"16.03376,108.20983",16.03376,108.20983,3.5465740360533626,5.623135699114098
2272, Nguyễn Phong Sắc,Khuê Trung,cẩm lệ,7.0,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,2.0,"16.02711,108.21174",16.02711,108.21174,4.116246804542357,6.054322526426316
2273, Hoàng Dư Khương,Khuê Trung,cẩm lệ,6.3,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,2.0,"16.0267,108.212",16.0267,108.212,4.147671063840655,6.073971326180615
2274, Phan Trọng Tuệ,Hòa Cường Nam,hải châu,5.8,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,3.0,"16.03274,108.21866",16.03274,108.21866,3.2808036442615975,5.112269468413427
2275, Nguyễn Quý Đức,Khuê Trung,cẩm lệ,4.7,99.0,Không,Nhà mặt tiền,Không có,5.0,20.0,1.0,"16.01761,108.20814",16.01761,108.20814,5.239244617891478,7.135384899471345
2276, Bàu Tràm 1,Khuê Trung,cẩm lệ,6.5,74.0,Không,Nhà mặt tiền,Không có,6.2,16.5,3.0,"16.03241,108.21184",16.03241,108.21184,3.5760431070364365,5.590151348521883
2277, Phạm Phú Tiết,Khuê Trung,cẩm lệ,7.5,96.0,Không,Nhà mặt tiền,Không có,5.0,19.3,3.0,"16.03402,108.2086",16.03402,108.2086,3.590915913265817,5.693864790992399
2278, Hoàng Dư Khương,Khuê Trung,cẩm lệ,5.9,84.0,Không,Nhà mặt tiền,Không có,5.0,16.8,3.0,"16.0267,108.212",16.0267,108.212,4.147671063840655,6.073971326180615
2279, Đường Nguyễn Khánh Toàn,Hòa Cường Bắc,hải châu,5.96,90.0,Không,Nhà mặt tiền,Không có,4.5,20.0,1.0,"16.03653,108.21447",16.03653,108.21447,3.0409701490908922,5.060485897069334
2280, Đặng Văn Ngữ,Khuê Trung,cẩm lệ,7.15,80.0,Không,Nhà mặt tiền,Không có,5.0,16.0,2.0,"16.0137,108.20659",16.0137,108.20659,5.7043303896961834,7.587990336140576
2281, Hàn Thuyên,Hòa Cường Bắc,hải châu,8.4,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.03936,108.21621",16.03936,108.21621,2.677025343637635,4.702626927549181
2282, Thái Thị Bôi,Chính Gián,thanh khê,5.4,45.0,Không,Nhà mặt tiền,Không có,3.86,11.6,3.0,"16.06831,108.1972",16.06831,108.1972,3.254576923792995,5.230468250766431
2283, Huỳnh Tấn Phát,Hòa Cường Nam,hải châu,11.5,10.0,Không,Nhà mặt tiền,Không có,5.0,20.4,3.0,"16.03781,108.21405",16.03781,108.21405,2.9336840727645823,4.986167830104097
2284, Ngô Thị Liễu,Hòa Cường Bắc,hải châu,6.5,83.0,Không,Nhà mặt tiền,Không có,5.0,16.5,3.0,"16.03786,108.21455",16.03786,108.21455,2.9044421757356518,4.945728495515147
2285, Đường Nguyễn Khánh Toàn,Hòa Cường Bắc,hải châu,6.5,90.0,Không,Nhà mặt tiền,Không có,4.5,20.8,1.0,"16.03653,108.21447",16.03653,108.21447,3.0409701490908922,5.060485897069334
2286, Cần Giuộc,An Khê,thanh khê,5.5,90.0,Không,Nhà mặt tiền,Không có,5.0,16.0,2.0,"16.05659,108.18494",16.05659,108.18494,4.496736499966759,6.713527970033814
2287, Kỳ Đồng,Thanh Khê Đông,thanh khê,9.8,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3.0,"16.0714016,108.19120789",16.071402,108.19121,3.9628276787713803,5.866247575126989
2288, Lê Lai,Thạch Thang,hải châu,6.5,49.0,Không,Nhà mặt tiền,Không có,4.25,11.5,2.0,"16.07526,108.21788",16.07526,108.21788,1.8276302274569078,3.063282458155304
