Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors
 Nguyễn Quý Đức,Khuê Trung,cẩm lệ,4.6,100.0,Không,True,True,5.0,20.0,2
 Bàu Tràm 2,Hòa Cường Bắc,hải châu,5.7,85.0,Không,True,True,5.0,17.0,2
 Nguyễn Thanh Năm,An Khê,thanh khê,6.9,90.0,Không,True,True,10.0,10.0,4
 An Thượng 18,Mỹ An,ngũ hành sơn,4.1,60.0,Không,True,True,4.5,15.0,5
 Trường Chinh,Hòa An,cẩm lệ,3.3,90.0,Không,True,True,5.0,18.0,2
 Ngô Quyền,An Hải Bắc,sơn trà,15.0,153.0,Không,True,True,6.0,27.0,3
 Tiên Sơn 10,Hòa Cường Nam,hải châu,6.5,90.0,Không,True,True,14.0,7.0,1
 Hoàng Đức Lương,An Hải Bắc,sơn trà,11.0,100.0,Không,True,True,5.0,20.0,5
 Tiên Sơn 8,Hòa Cường Nam,hải châu,7.2,100.0,Không,True,True,5.0,20.0,3
 Huỳnh Tịnh Của,Xã Hòa Châu,huyện hòa vang,2.9,100.0,Không,True,True,5.0,20.0,2
 Huỳnh Thị Bảo Hòa,Hòa Khánh Nam,liên chiểu,3.5,100.0,Không,True,True,5.0,20.0,2
 Lưu Nhân Chú,Khuê Trung,cẩm lệ,4.7,100.0,Không,True,True,5.0,20.0,3
 Tôn Đức Thắng,Hòa Khánh Bắc,liên chiểu,25.0,313.0,Không,True,True,7.0,48.0,4
 Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,80.0,Không,True,True,4.5,15.0,2
 Nguyễn Thuật,Hòa An,cẩm lệ,4.6,125.0,Không,True,True,5.0,25.0,3
 Phước Lý 6,Hòa Minh,liên chiểu,3.5,105.0,Không,True,True,5.0,20.0,2
 Hoà Minh 15,Hòa Minh,liên chiểu,5.2,75.0,Không,True,False,5.0,15.0,3
 Lý Triện,An Khê,thanh khê,6.6,105.0,Không,True,True,5.0,22.0,3
 Thanh Lương 8,Hòa Xuân,cẩm lệ,5.7,100.0,Không,True,True,5.0,20.0,3
 Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,80.0,Không,True,True,5.0,14.0,2
 Văn Tiến Dũng,Hòa Xuân,cẩm lệ,6.7,100.0,Không,True,True,5.0,20.0,3
 Phước Lý 5,Hòa Minh,liên chiểu,3.75,113.0,Không,True,True,5.0,23.0,3
 Thích Quảng Đức,Hòa Minh,liên chiểu,6.9,150.0,Không,True,True,7.0,24.0,3
 Văn Tiến Dũng,Hòa Xuân,cẩm lệ,6.8,100.0,Không,True,False,5.0,20.0,3
 Phạm Xuân Ẩn,Hòa Xuân,cẩm lệ,4.75,120.0,Không,True,True,5.0,24.0,3
 Nguyễn Hồng Ánh,Xã Hòa Châu,huyện hòa vang,6.4,95.0,Không,True,False,5.0,19.0,3
 Lê Duẩn,Tân Chính,thanh khê,2.75,60.0,Không,False,True,4.5,15.0,2
 Hoàng Văn Thái,Hòa Khánh Nam,liên chiểu,2.6,100.0,Không,False,True,5.0,20.0,2
 Hà Bổng,Phước Mỹ,sơn trà,3.8,50.0,Không,False,True,4.5,12.0,3
 Ngô Chân Lưu,Hòa Minh,liên chiểu,3.35,70.0,Không,False,True,4.0,17.5,3
 Đồng Kè,Hòa Khánh Bắc,liên chiểu,2.55,80.0,Không,False,False,5.0,16.0,2
 Trường Chinh,Hòa Phát,cẩm lệ,1.75,70.0,Không,False,True,4.5,16.0,1
 Tô Hiệu,Hòa Minh,liên chiểu,3.69,85.0,Không,False,True,5.0,16.0,3
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,5.95,13.0,Không,False,True,5.8,23.0,3
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,6.0,150.0,Không,False,True,6.0,25.0,3
 Võ Duy Ninh,Thọ Quang,sơn trà,2.8,70.0,Không,False,True,6.0,12.0,1
 Thái Thị Bôi,Chính Gián,thanh khê,2.55,65.0,Không,False,True,4.5,15.0,2
 Trần Cao Vân,Xuân Hà,thanh khê,3.2,70.0,Không,False,True,5.0,13.0,2
 Tôn Đản,Hòa An,cẩm lệ,2.15,60.0,Không,False,True,4.5,15.0,2
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,3.65,80.0,Không,False,True,4.5,18.0,1
 Trường Chinh,Hòa An,cẩm lệ,1.65,55.0,Không,False,True,4.5,14.0,1
 Ngô Quyền,Thọ Quang,sơn trà,2.7,120.0,Không,False,True,5.0,24.0,2
 Đồng Kè,Hòa Khánh Bắc,liên chiểu,3.15,100.0,Không,False,True,4.5,22.0,2
 Nguyễn Như Đỗ,Hòa Thọ Tây,cẩm lệ,1.85,120.0,Không,False,True,5.0,24.0,1
 Tô Hiệu,Hòa Minh,liên chiểu,3.69,70.0,Không,False,True,4.5,16.0,2
 Tôn Đản,Hòa Phát,cẩm lệ,3.65,90.0,Không,False,True,5.0,18.0,3
 Ngô Quyền,An Hải Bắc,sơn trà,2.83,110.0,Không,False,True,5.0,22.0,2
 Trần Cao Vân,Tam Thuận,thanh khê,1.49,36.0,Tây,False,True,4.1,8.78048780487805,2
 Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,5.35,125.0,Không,True,True,5.0,25.0,2
 Lỗ Giáng 6,Hòa Xuân,cẩm lệ,3.9,100.0,Không,True,True,5.0,20.0,2
 Phan Văn Trị,Khuê Trung,cẩm lệ,6.35,110.0,Không,True,True,5.5,20.0,3
 Trần Văn Cẩn,Hòa Xuân,cẩm lệ,3.96,150.0,Không,True,True,5.0,30.0,3
 Đặng Văn Ngữ,Khuê Trung,cẩm lệ,5.8,100.0,Không,True,True,5.0,20.0,2
 Bình Hòa 4,Khuê Trung,cẩm lệ,8.5,100.0,Không,True,True,5.0,20.0,4
 Phạm Hùng,Hòa Xuân,cẩm lệ,6.0,110.0,Không,True,True,5.0,22.0,1
 Bình Hòa 14,Khuê Trung,cẩm lệ,4.15,80.0,Không,True,True,5.0,16.0,3
 Nguyễn Khoa Chiêm,Hòa Thọ Đông,cẩm lệ,4.9,100.0,Không,True,True,5.0,20.0,3
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,7.5,75.0,Không,True,True,5.7,13.0,2
 Hoàng Đạo Thúy,Hòa Thọ Đông,cẩm lệ,5.0,120.0,Không,True,True,5.0,24.0,3
 Trường Chinh,Hòa Thọ Đông,cẩm lệ,4.8,67.0,Không,True,True,11.07,6.91,4
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,18.8,170.0,Đông,True,True,5.0,34.0,4
 Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,4.4,95.0,Không,True,True,5.0,19.0,3
 Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,3.9,90.0,Không,True,True,5.0,18.0,3
 Nguyễn Nho Túy,Khuê Trung,cẩm lệ,3.55,75.0,Không,True,True,5.0,15.0,2
 Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,14.0,90.0,Không,True,True,7.0,15.0,2
 Võ Chí Công,Hòa Xuân,cẩm lệ,24.0,50.0,Không,True,True,15.0,17.0,2
 Bình Thái 4,Hòa Thọ Đông,cẩm lệ,3.85,126.0,Không,True,True,6.0,21.0,2
 Liêm Lạc 15,Hòa Xuân,cẩm lệ,2.85,100.0,Không,True,True,5.0,20.0,2
 Trần Kim Xuyến,Hòa Xuân,cẩm lệ,5.6,100.0,Không,True,True,5.0,20.0,3
 Trần Văn Cẩn,Hòa Xuân,cẩm lệ,3.8,100.0,Không,True,True,5.0,20.0,2
 Trương Quang Giao,Khuê Trung,cẩm lệ,4.3,90.0,Không,True,True,5.0,18.0,3
 Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,3.3,100.0,Không,True,True,5.0,20.0,2
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,11.0,140.0,Không,True,True,5.9,25.0,1
 Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,4.2,145.0,Không,True,True,6.0,24.0,3
 Bình Thái 3,Hòa Thọ Đông,cẩm lệ,4.3,135.0,Không,True,True,5.4,25.0,2
 Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,4.9,125.0,Không,True,True,5.0,25.0,2
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,20.0,310.0,Không,True,True,11.2,26.0,3
 Trần Kim Bảng,Khuê Trung,cẩm lệ,5.4,90.0,Không,True,True,5.0,18.0,2
 Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,3.9,120.0,Không,True,True,5.0,24.0,2
 Trần Huy Liệu,Khuê Trung,cẩm lệ,4.1,100.0,Không,True,True,5.0,20.0,2
 Phan Triêm,Hòa Xuân,cẩm lệ,3.9,100.0,Không,True,True,5.0,20.0,2
 Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,3.75,100.0,Không,True,True,5.0,20.0,3
 2/9,Hòa Cường Nam,hải châu,17.9,160.0,Không,True,True,7.7,21.0,3
 Cẩm Bắc 9,Hòa Thọ Đông,cẩm lệ,3.3,80.0,Không,True,True,5.0,16.0,2
 Liêm Lạc 21,Hòa Xuân,cẩm lệ,2.85,100.0,Không,True,True,5.0,20.0,2
 Bình Hòa 2,Khuê Trung,cẩm lệ,2.85,60.0,Không,True,True,4.0,15.0,1
 Trường Chinh,Khuê Trung,cẩm lệ,2.5,85.0,Không,False,True,4.0,21.0,1
 Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2.8,90.0,Không,False,True,5.0,18.0,2
 Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,3.15,110.0,Không,False,True,9.0,12.0,1
 Phạm Hùng,Hòa Xuân,cẩm lệ,6.7,110.0,Không,True,True,5.0,22.0,3
 Phạm Viết Chánh,Hòa Thọ Đông,cẩm lệ,2.25,78.0,Không,False,True,6.0,13.0,2
 Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2.2,76.0,Không,False,True,4.6,16.0,2
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2.1,84.0,Không,False,True,4.0,21.0,2
 Bùi Xương Trạch,Khuê Trung,cẩm lệ,2.25,100.0,Không,False,True,5.0,20.0,1
 Bình Thái 1,Hòa Thọ Đông,cẩm lệ,1.5,66.0,Không,False,True,4.0,16.5,1
 Triệu Quốc Đạt,Hòa Thọ Đông,cẩm lệ,2.25,80.0,Không,False,True,6.0,13.5,2
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2.05,56.0,Không,False,True,7.0,8.0,2
 Hoàng Diệu,Nam Dương,hải châu,15.0,6.0,Không,True,False,5.5,12.0,5
 Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,7.2,78.0,Không,True,False,5.5,14.5,3
 Phước Mỹ 3,Phước Mỹ,sơn trà,7.3,66.0,Không,True,False,4.1,16.0,3
 Tống Phước Phổ,Hòa Cường Bắc,hải châu,6.5,68.0,Không,True,False,5.0,13.5,3
 Nguyễn Hữu Thọ,Hòa Cường Bắc,hải châu,16.5,125.0,Không,True,False,5.0,25.0,4
 Nguyễn Tri Phương,Thạc Gián,thanh khê,14.2,125.0,Không,True,False,5.0,24.0,4
 Dương Bích Liên,Hòa Minh,liên chiểu,3.995,70.0,Không,True,False,5.0,14.0,2
 Phan Đăng Lưu,Hòa Cường Bắc,hải châu,16.0,100.0,Không,True,False,5.0,20.0,5
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,100.0,450.0,Không,True,False,15.0,30.0,14
 Nguyễn Lộ Trạch,Hòa Cường Nam,hải châu,9.0,11.0,Không,True,False,5.0,22.0,3
 Nguyễn Tất Thành,Xuân Hà,thanh khê,13.0,90.0,Không,True,False,4.5,20.0,6
 Núi Thành,Hòa Cường Bắc,hải châu,12.0,135.0,Không,True,False,5.37,25.0,2
 Nguyễn Văn Linh,Vĩnh Trung,thanh khê,5.8,63.0,Không,False,False,4.2,15.0,4
 Lý Tự Trọng,Thanh Bình,hải châu,9.8,105.0,Không,False,True,52.5,52.5,5
 Nguyễn Văn Linh,Thạc Gián,thanh khê,4.09,55.0,Không,False,True,5.0,11.0,1
 Trần Xuân Lê,An Khê,thanh khê,4.5,55.0,Không,False,False,5.0,11.0,2
 Ông Ích Đường,Khuê Trung,cẩm lệ,5.3,125.0,Không,False,False,7.8,16.0,1
 Thái Phiên,Phước Ninh,hải châu,8.3,8.0,Không,False,False,4.5,18.4,3
 An Thượng 24,Mỹ An,ngũ hành sơn,6.5,106.0,Không,False,False,7.0,15.0,1
 Ông Ích Khiêm,Thanh Bình,hải châu,7.1,143.0,Không,False,False,8.0,18.0,2
 Lý Tự Trọng,Thanh Bình,hải châu,7.2,68.0,Không,True,True,4.5,15.3,4
 Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,16.0,170.0,Không,True,False,6.0,20.0,2
 Núi Thành,Hòa Thuận Đông,hải châu,24.45,123.0,Không,True,False,7.1,18.0,2
 Hóa Sơn 2,Hòa Cường Nam,hải châu,3.45,56.0,Không,True,False,4.0,14.0,2
 Cô Giang,Phước Ninh,hải châu,23.5,155.0,Không,True,True,6.0,24.0,1
 An Thượng 1,Mỹ An,ngũ hành sơn,15.7,80.0,Không,True,True,5.0,16.0,3
 Đặng Tử Kính,Thạch Thang,hải châu,14.7,95.0,Không,True,False,7.5,12.7,4
 Hồ Nghinh,Phước Mỹ,sơn trà,17.0,121.0,Không,True,False,5.0,24.2,3
 Bình Thái 1,Hòa Thọ Đông,cẩm lệ,6.1,34.0,Không,True,False,9.0,286.0,2
 Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,7.65,90.0,Không,True,False,4.5,20.0,1
 Nguyễn Tri Phương,Thạc Gián,thanh khê,31.0,78.0,Không,True,True,10.0,29.0,3
 Hải Hồ,Thuận Phước,hải châu,11.0,76.0,Không,True,False,7.0,11.0,3
 Nguyễn Tri Phương,Thạc Gián,thanh khê,31.0,78.0,Không,True,False,9.6,29.0,3
 Xô Viết Nghệ Tĩnh,Hòa Cường Nam,hải châu,24.0,190.0,Không,True,False,10.0,19.0,2
 Hà Tông Quyền,Khuê Trung,cẩm lệ,8.0,100.0,Không,True,False,5.0,20.0,4
 Nguyễn Phẩm,Hòa Cường Bắc,hải châu,6.8,81.0,Không,True,False,4.5,18.0,3
 Núi Thành,Hòa Cường Bắc,hải châu,14.5,106.0,Không,True,False,6.2,17.0,3
 Lê Đình Thám,Hòa Thuận Đông,hải châu,13.0,90.0,Không,True,False,5.0,18.0,3
 Phan Đăng Lưu,Hòa Cường Nam,hải châu,13.0,99.0,Không,True,False,5.0,19.0,1
 Phạm Văn Tráng,Hòa Khánh Bắc,liên chiểu,10.5,174.0,Không,True,False,9.5,20.0,3
 Hải Hồ,Thuận Phước,hải châu,11.0,76.0,Không,True,False,7.1,11.0,3
 Cù Chính Lan,Hòa Khê,thanh khê,9.5,9.0,Không,True,False,11.0,19.0,1
 Trần Văn Dư,Mỹ An,ngũ hành sơn,22.3,55.0,Không,True,False,12.75,20.0,4
 Phan Văn Trị,Khuê Trung,cẩm lệ,11.0,198.0,Không,True,False,11.0,19.0,3
 Phan Châu Trinh,Phước Ninh,hải châu,13.0,84.0,Không,True,False,4.5,19.0,3
 Duy Tân,Hòa Thuận Đông,hải châu,22.1,7.0,Không,True,False,9.0,23.0,2
 Hải Hồ,Thanh Bình,hải châu,4.9,68.0,Không,True,True,4.5,15.0,2
 Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,6.2,90.0,Không,True,False,5.0,18.0,3
 Nguyễn Đình Tứ,Hòa An,cẩm lệ,5.3,100.0,Không,True,False,5.0,20.0,1
 Trần Văn Dư,Mỹ An,ngũ hành sơn,13.7,31.0,Không,True,False,8.5,27.0,1
 Thái Thị Bôi,Chính Gián,thanh khê,5.9,87.0,Không,True,False,3.8,17.0,2
 Lý Tự Trọng,Thạch Thang,hải châu,14.0,98.0,Không,True,False,5.1,17.0,3
 Lương Ngọc Quyến,Thuận Phước,hải châu,11.0,76.0,Không,True,False,7.0,11.0,3
 Ngô Thị Liễu,Hòa Cường Bắc,hải châu,5.3,8.0,Không,True,False,5.0,16.5,3
 Tô Hiến Thành,Phước Mỹ,sơn trà,55.0,700.0,Không,True,False,15.0,46.0,1
 Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,7.2,126.0,Không,True,False,5.0,25.0,3
 Huỳnh Ngọc Huệ,An Khê,thanh khê,7.0,50.0,Không,True,False,4.0,13.0,3
 Điện Biên Phủ,Chính Gián,thanh khê,69.0,404.0,Không,True,False,20.0,20.0,2
 Phan Châu Trinh,Phước Ninh,hải châu,14.0,77.0,Không,True,False,4.26,18.2,4
 Lê Lợi,Thạch Thang,hải châu,15.0,118.0,Không,True,False,6.0,16.0,1
 Ngô Chi Lan,Thuận Phước,hải châu,6.5,74.0,Không,True,False,5.86,15.0,4
 Khúc Hạo,Nại Hiên Đông,sơn trà,6.5,125.0,Không,True,False,5.0,25.0,2
 Bế Văn Đàn,An Khê,thanh khê,6.1,86.0,Không,True,False,5.0,17.2,3
 Hùng Vương,Hải Châu II,hải châu,12.0,69.0,Không,True,False,4.0,18.0,1
 Nguyễn Hữu Thọ,Khuê Trung,cẩm lệ,17.0,170.0,Không,True,False,5.0,34.0,5
 Huỳnh Tấn Phát,Hòa Cường Bắc,hải châu,8.9,9.0,Không,True,False,4.5,20.0,1
 Nguyễn Sơn Hà,Hòa Cường Bắc,hải châu,7.45,70.0,Không,True,False,5.0,14.0,3
 Lý Nhân Tông,Khuê Trung,cẩm lệ,17.0,77.0,Không,True,False,15.0,18.0,1
 Khuê Mỹ Đông 15,Khuê Mỹ,ngũ hành sơn,14.5,10.0,Không,True,False,6.0,17.0,6
 An Thượng 26,Mỹ An,ngũ hành sơn,39.0,180.0,Không,True,False,9.0,20.0,10
 Đuờng Vũ Hữu,Hòa Cường Bắc,hải châu,10.0,105.0,Không,True,False,5.0,25.0,3
 Đuờng Vũ Hữu,Hòa Cường Bắc,hải châu,10.0,105.0,Không,True,True,5.0,21.0,3
 Lê Thanh Nghị,Hòa Cường Nam,hải châu,9.0,70.0,Không,True,False,5.0,14.0,3
 Bế Văn Đàn,An Khê,thanh khê,6.4,86.0,Không,True,True,5.0,17.0,3
 Phạm Văn Đồng,An Hải Bắc,sơn trà,30.0,125.0,Không,True,False,5.0,25.0,6
 Trần Thanh Mại,An Hải Bắc,sơn trà,6.0,75.0,Không,True,False,5.0,15.0,2
 An Thượng 2,Mỹ An,ngũ hành sơn,18.0,90.0,Không,True,False,5.0,18.0,2
 Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,22.0,144.0,Không,True,False,9.0,16.0,2
 Mỹ Đa Đông 12,Mỹ An,ngũ hành sơn,20.5,8.0,Không,True,False,12.0,18.0,2
 Ngô Thì Sĩ,Mỹ An,ngũ hành sơn,15.0,10.0,Không,True,False,5.0,20.5,2
 Bạch Đằng,Hải Châu I,hải châu,79.0,169.0,Không,True,False,6.7,24.0,2
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,9.5,50.0,Không,True,False,4.5,11.0,5
 Trần Phú,Phước Ninh,hải châu,17.0,97.0,Không,True,False,4.0,24.0,3
 Nguyễn Duy Hiệu,An Hải Đông,sơn trà,9.0,14.0,Không,True,False,5.93,23.0,1
 Hoàng Thúc Trâm,Hòa Cường Bắc,hải châu,7.5,90.0,Không,True,False,5.0,18.0,3
 Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,25.0,313.0,Không,True,False,9.6,23.0,2
 Núi Thành,Hòa Cường Bắc,hải châu,19.5,137.0,Không,True,False,7.0,23.0,3
 Morrison,An Hải Bắc,sơn trà,35.0,126.0,Không,True,False,7.0,18.0,7
 Phú Thạnh 4,Hòa Minh,liên chiểu,5.9,100.0,Không,True,False,5.0,20.0,3
 Núi Thành,Hòa Thuận Đông,hải châu,28.0,151.0,Không,True,False,6.5,24.0,8
 Nguyễn Văn Linh,Nam Dương,hải châu,55.0,150.0,Không,True,True,7.0,24.0,2
 An Thượng 4,Mỹ An,ngũ hành sơn,20.0,90.0,Không,True,False,5.0,18.0,4
 Bàu Tràm 1,Khuê Trung,cẩm lệ,6.25,74.0,Không,True,False,4.5,15.0,2
 Thanh Hải,Thanh Bình,hải châu,8.0,9.0,Không,True,False,5.38,17.29,1
 Thanh Long,Thanh Bình,hải châu,7.3,108.0,Không,True,False,4.5,15.25,4
 Phạm Phú Tiết,Khuê Trung,cẩm lệ,7.5,96.0,Không,True,False,5.0,19.3,3
 Mai Lão Bạng,Thuận Phước,hải châu,7.3,9.0,Không,True,False,7.8,12.0,4
 Huy Cận,Hòa Cường Nam,hải châu,5.7,70.0,Không,True,False,5.0,14.0,3
 An Thượng 29,Mỹ An,ngũ hành sơn,13.0,74.0,Không,True,True,37.0,37.0,5
 Nguyễn Chí Thanh,Thạch Thang,hải châu,9.4,54.0,Không,True,False,4.2,12.7,4
 Đào Trí,Hòa Cường Nam,hải châu,4.4,75.0,Không,True,False,5.0,15.0,3
 Bế Văn Đàn,Chính Gián,thanh khê,8.0,75.0,Không,True,False,5.0,15.0,5
 Thanh Hải,Thanh Bình,hải châu,8.0,9.0,Không,True,False,5.38,17.29,2
 Trần Đức Thảo,Hòa Cường Nam,hải châu,7.0,90.0,Không,True,False,5.0,18.0,1
 Phạm Văn Nghị,Thạc Gián,thanh khê,9.5,58.0,Không,True,False,4.0,15.0,4
 Hàm Nghi,Vĩnh Trung,thanh khê,22.0,8.0,Không,True,True,4.0,4.0,5
 Phạm Văn Nghị,Thạc Gián,thanh khê,9.5,60.0,Không,True,True,30.0,30.0,4
 Phạm Phú Thứ,Hải Châu I,hải châu,15.0,58.0,Không,True,True,4.7,12.5,4
 Đống Đa,Thuận Phước,hải châu,28.0,99.0,Không,True,True,49.5,49.5,7
 Đinh Công Tráng,Thuận Phước,hải châu,5.5,58.0,Không,True,True,4.0,15.0,3
 Trần Đức Thảo,Hòa Cường Nam,hải châu,6.8,90.0,Không,True,False,5.0,18.0,1
 Nguyễn Hoàng,Bình Hiên,hải châu,10.5,81.0,Không,True,True,40.5,40.5,3
 Chu Mạnh Trinh,Khuê Trung,cẩm lệ,4.7,74.0,Không,True,True,4.5,16.5,3
 Khuê Đông,Khuê Mỹ,ngũ hành sơn,16.0,10.0,Không,True,False,6.0,17.0,5
 2/9,Hòa Cường Nam,hải châu,10.0,89.0,Không,True,False,4.5,17.0,4
 2/9,Hòa Cường Nam,hải châu,10.0,89.0,Không,True,True,44.5,44.5,1
 Nguyễn Chí Thanh,Thạch Thang,hải châu,27.0,19.0,Không,True,True,7.7,23.0,1
 Điện Biên Phủ,Chính Gián,thanh khê,16.0,93.0,Không,True,True,46.5,46.5,4
 An Cư 5,Phước Mỹ,sơn trà,7.7,90.0,Không,True,True,45.0,45.0,3
 Thạch Lam,Phước Mỹ,sơn trà,11.5,170.0,Không,True,True,85.0,85.0,1
 Nguyễn Thị Minh Khai,Thạch Thang,hải châu,18.0,9.0,Không,True,False,4.6,20.0,4
 Đỗ Quang,Vĩnh Trung,thanh khê,7.2,51.0,Không,True,True,11.6,4.6,2
 Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,10.8,90.0,Không,True,False,5.0,19.0,5
 Mai Am,Thanh Bình,hải châu,7.9,105.0,Không,True,True,7.0,15.0,3
 Hoàng Văn Thụ,Hải Châu I,hải châu,65.0,380.0,Không,True,True,18.0,21.0,1
 2/9,Hòa Cường Bắc,hải châu,32.5,560.0,Không,True,False,15.0,23.0,1
 Chi Lăng,Hải Châu II,hải châu,25.0,108.0,Không,True,True,5.0,22.0,7
 Nguyễn Xí,Hòa Minh,liên chiểu,6.2,100.0,Không,True,True,5.0,20.0,3
 Thân Cảnh Phúc,Hòa Cường Bắc,hải châu,18.0,10.0,Không,True,False,10.0,21.0,3
 3/2,Thuận Phước,hải châu,16.0,125.0,Không,True,False,5.0,25.0,3
 Nguyễn Chí Diễu,An Hải Bắc,sơn trà,5.8,100.0,Không,True,False,5.0,20.0,2
 Thái Thị Bôi,Chính Gián,thanh khê,5.4,70.0,Không,True,False,4.5,16.0,3
 Phan Đăng Lưu,Hòa Cường Bắc,hải châu,16.3,100.0,Không,True,True,50.0,50.0,3
 Núi Thành,Hòa Cường Nam,hải châu,14.5,115.0,Không,True,False,4.0,22.0,3
 Nguyễn Tất Thành,Tam Thuận,thanh khê,30.0,50.0,Không,True,False,10.0,25.0,4
 Trần Thủ Độ,Khuê Trung,cẩm lệ,8.2,100.0,Không,True,False,5.0,20.0,3
 Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,8.5,90.0,Không,True,False,4.5,20.0,4
 Lê Lai,Thạch Thang,hải châu,6.5,50.0,Không,True,False,4.25,11.5,2
 Phan Đăng Lưu,Khuê Trung,cẩm lệ,13.3,130.0,Không,True,False,5.0,26.0,3
 Hoàng Diệu,Nam Dương,hải châu,21.5,100.0,Không,True,False,6.5,15.5,2
 Tống Phước Phổ,Hòa Cường Bắc,hải châu,7.0,67.0,Không,True,False,5.0,13.5,3
 Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,6.2,90.0,Không,True,False,5.0,18.0,2
 Phan Thanh,Thạc Gián,thanh khê,14.5,107.0,Không,True,False,4.6,24.0,3
 Hàn Thuyên,Hòa Cường Bắc,hải châu,8.4,109.0,Không,True,False,5.0,20.0,3
 Kỳ Đồng,Xuân Hà,thanh khê,9.8,100.0,Không,True,False,5.0,20.0,3
 Hoàng Hoa Thám,Vĩnh Trung,thanh khê,18.0,75.0,Không,True,False,5.0,15.0,3
 Duy Tân,Hòa Thuận Đông,hải châu,17.5,13.0,Không,True,False,5.68,23.0,1
 Nguyễn Hữu Dật,Hòa Cường Bắc,hải châu,13.0,100.0,Không,True,False,5.0,20.0,3
 Ngô Quyền,An Hải Bắc,sơn trà,26.5,190.0,Không,True,False,8.5,22.7,5
 Điện Biên Phủ,Chính Gián,thanh khê,16.0,84.0,Không,True,False,4.15,21.54,6
 Nguyễn Du,Thạch Thang,hải châu,20.0,155.0,Không,True,False,5.2,24.8,3
 An Thượng 6,Mỹ An,ngũ hành sơn,13.2,67.0,Không,True,False,4.5,15.5,6
 Nguyễn Đức Trung,Hòa Khê,thanh khê,10.0,100.0,Không,True,False,5.0,20.0,5
 Dương Trí Trạch,An Hải Bắc,sơn trà,12.0,130.0,Không,True,False,10.0,13.0,2
 Phan Đăng Lưu,Hòa Cường Bắc,hải châu,13.3,130.0,Không,True,False,5.0,26.0,3
 Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,12.0,100.0,Không,True,False,5.0,20.0,5
 Tiên Sơn 8,Hòa Cường Nam,hải châu,10.3,120.0,Không,True,False,7.0,17.5,3
 Thân Nhân Trung,Hòa Khê,thanh khê,5.6,81.0,Không,True,False,4.5,18.0,3
 Hàn Thuyên,Hòa Cường Bắc,hải châu,8.0,108.0,Không,True,False,4.5,24.0,3
 Phạm Tu,An Hải Bắc,sơn trà,8.5,56.0,Không,True,False,4.0,16.0,5
 Nguyễn Dữ,Khuê Trung,cẩm lệ,4.2,80.0,Không,True,False,5.0,16.0,1
 Đỗ Huy Uyển,An Hải Bắc,sơn trà,8.3,100.0,Không,True,False,5.0,20.0,3
 Lý Tự Trọng,Thạch Thang,hải châu,5.6,59.0,Không,True,False,6.0,9.5,4
 Phan Huy Ôn,Hòa Cường Bắc,hải châu,4.95,70.0,Không,True,False,5.0,14.0,4
 Hà Huy Tập,An Khê,thanh khê,16.5,120.0,Không,True,False,5.8,21.0,4
 Phạm Đình Hổ,Hòa Minh,liên chiểu,8.0,140.0,Không,True,False,7.0,20.0,3
 Điện Biên Phủ,Chính Gián,thanh khê,13.0,7.0,Không,True,True,6.0,13.0,4
