Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 An Nhơn 1,An Hải Bắc,sơn trà,6.45,73,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.7,15.4,3,"16.07063,108.23322"
 Đoàn Trần Nghiệp,Hòa Khánh Bắc,liên chiểu,6,98,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.0693,108.14883"
 Nguyễn Xuân Khoát,An Hải Bắc,sơn trà,9.5,110,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,22,3,"16.06982,108.23675"
 Nguyễn Đỗ Cung,Hòa Minh,liên chiểu,3.85,83,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,17,3,"16.06062,108.17027"
 Núi Thành,Hòa Thuận Đông,hải châu,24,123,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,7.1,17.8,3,"16.03194,108.22279"
 An Mỹ,An Hải Tây,sơn trà,4.2,56,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4,14,1,"16.06265,108.23121"
 An Nhơn 3,An Hải Bắc,sơn trà,8.5,117,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.3,22,2,"16.06963,108.23429"
 Nguyễn Lương Bằng,Hòa Hiệp Nam,liên chiểu,5.3,14,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.9,36,1,"16.08075,108.14674"
 Hàn Thuyên,Hòa Cường Bắc,hải châu,7.8,11,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,25,1,"16.03936,108.21621"
 Nước Mặn 2,Khuê Mỹ,ngũ hành sơn,5.1,95,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,19,2,"16.02124,108.25063"
 An Trung 8,An Hải Tây,sơn trà,3.9,58,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,11,2,"16.05655,108.23464"
 Xuân Thiều 11,Hòa Hiệp Nam,liên chiểu,3.6,100,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,1,"16.10256,108.13604"
 Ngô Quyền,An Hải Tây,sơn trà,12.5,87,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,17.42,2,"16.09631,108.24529"
 Thái Thị Bôi,Chính Gián,thanh khê,2.95,45,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4,11.5,3,"16.06831,108.1972"
 Nại Nghĩa 4,Nại Hiên Đông,sơn trà,3.6,50,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4,12.5,3,"16.08561,108.23101"
 Nguyễn Thanh Năm,An Khê,thanh khê,3,78,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,15.6,1,"16.03579,108.19075"
 Hàn Thuyên,Hòa Cường Bắc,hải châu,8.4,100,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.03936,108.21621"
 Nguyễn Thanh Năm,An Khê,thanh khê,3.1,75,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,15,1,"16.03579,108.19075"
 Gò Nãy 9,Hòa Minh,liên chiểu,3.8,85,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,17,2,"16.08094,108.1366"
 Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,5.2,125,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,25,2,"16.02276,108.2069"
 Cao Bá Nhạ,Mân Thái,sơn trà,4,75,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,15,2,"16.08803,108.2403"
 Sơn Thủy 2,Hòa Hải,ngũ hành sơn,4.8,115,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,23,2,"16.01371,108.25355"
 Hoàng Đình Ái,Hòa Xuân,cẩm lệ,4.35,125,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,25,2,"15.99713,108.21506"
 Mân Quang 4,Thọ Quang,sơn trà,3.9,110,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5,22,1,"16.10372,108.24584"
 Mai Lão Bạng,Thuận Phước,hải châu,7.3,93,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,7.79,11.79,3,"16.08414,108.21865"
 Nguyễn Huy Tự,Hòa Minh,liên chiểu,2.95,7,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16,2,"16.08181,108.15984"
 Đặng Thùy Trâm,Hòa Thuận Tây,hải châu,4.6,79,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.2,16.7,2,"16.05255,108.20845"
 Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,7.8,153,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,30.4,,3,"16.09447,108.22971"
 Chu Mạnh Trinh,Khuê Trung,cẩm lệ,5,75,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.03377,108.21313"
 Trần Cao Vân,Xuân Hà,thanh khê,11.2,105,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,6.6,,3,"16.0738,108.20758"
 Hoàng Diệu,Bình Hiên,hải châu,5.2,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7,10,3,"16.05467,108.21737"
 2/9,Thuận Phước,hải châu,2.6,80,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,13,1,"16.08311,108.22194"
 2/9,Thuận Phước,hải châu,2.8,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,10,7,2,"16.08311,108.22194"
 Tôn Đức Thắng,Hòa Minh,liên chiểu,2.5,60,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4,3,5,"16.07067,108.15084"
 Nguyễn Giản Thanh,An Khê,thanh khê,6.95,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,52,,3,"16.05524,108.1861"
 Phan Tứ,Mỹ An,ngũ hành sơn,14.7,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,20,,1,"16.04607,108.24456"
 An Dương Vương,Mỹ An,ngũ hành sơn,11,614,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,7,"16.04387,108.23749"
 An Dương Vương,Mỹ An,ngũ hành sơn,10.9,614,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,7,"16.04387,108.23749"
 Dương Trí Trạch,An Hải Bắc,sơn trà,12.3,41,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,15,5,"16.07451,108.24024"
 Hoài Thanh,Mỹ An,ngũ hành sơn,12.95,160,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,10,16,3,"16.04427,108.23848"
 Đinh Lễ,Mân Thái,sơn trà,3.6,75,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,17,2,"16.08749,108.23905"
 Đỗ Bá,Mỹ An,ngũ hành sơn,11.5,8,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,14,3,"16.05193,108.24696"
 Nguyễn Văn Thoại,Mỹ An,ngũ hành sơn,20.8,130,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.4,23.5,2,"16.05129,108.24253"
 Nguyễn Nghiêm,Hòa Khê,thanh khê,8.7,68,Không,Nhà mặt tiền,Không có,6,,4,"16.062,108.1909"
 Nguyễn Phước Nguyên,An Khê,thanh khê,6.2,93,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.05452,108.18347"
 Hàn Mạc Tử,Thuận Phước,hải châu,7,55,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,,3,"16.08542,108.21743"
 Thanh Thủy,Thanh Bình,hải châu,6,70,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,1,"16.08232,108.21374"
 3/2,Thuận Phước,hải châu,6,77,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,1,"16.08332,108.2223"
 Núi Thành,Hòa Cường Nam,hải châu,7.2,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.03194,108.22279"
 Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.5,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.02914,108.24223"
 Cần Giuộc,An Khê,thanh khê,6.95,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.05659,108.18494"
 Tiên Sơn,Hòa Cường Nam,hải châu,6.9,8,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.02913,108.22021"
 Vùng Trung 5,Hòa Hải,ngũ hành sơn,7.85,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9,,2,"15.98977,108.26162"
 Vùng Trung 3,Hòa Hải,ngũ hành sơn,7.9,185,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,,3,"15.99111,108.25972"
 Khuê Mỹ Đông,Mỹ An,ngũ hành sơn,9.3,75,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.03956,108.24598"
 Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,5.8,74,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,1,"16.03478,108.21788"
 Dương Quảng Hàm,Khuê Trung,cẩm lệ,6.1,85,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.03387,108.21396"
 Dương Quảng Hàm,Hòa Cường Bắc,hải châu,6.15,95,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.07505,108.22114"
 Lê Thanh Nghị,Khuê Trung,cẩm lệ,6.5,116,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.02363,108.22377"
 Thanh Thủy,Thanh Bình,hải châu,6.3,70,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,1,"16.08232,108.21374"
 Lý Triện,An Khê,thanh khê,6.6,105,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.05945,108.18524"
 Thái Thị Bôi,An Khê,thanh khê,6.6,115,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,,3,"16.06831,108.1972"
 Tôn Đức Thắng,Hòa Minh,liên chiểu,24.99,330,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10,,4,"16.07067,108.15084"
 Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,5.4,60,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,2,"16.04978,108.24072"
 Tống Phước Phổ,Hòa Thuận Tây,hải châu,5.8,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.04524,108.22224"
 Nguyễn Đăng Đạo,Hòa Thuận Tây,hải châu,5.8,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.03788,108.20817"
 Nguyễn Đăng Đạo,Hòa Thuận Tây,hải châu,6.3,115,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.03788,108.20817"
 Hoàng Đạo Thúy,Hòa Phát,cẩm lệ,5.2,140,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.02004,108.19732"
 17 Bình An,Hòa Cường Bắc,hải châu,6.9,115,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,,3,"16.03859,108.21706"
 Phan Anh,Hòa Cường Bắc,hải châu,6.2,107,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.0364,108.21281"
 Lương Nhữ Hộc,Hòa Cường Bắc,hải châu,6.8,95,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.04037,108.21179"
 Núi Thành,Hòa Cường Bắc,hải châu,6.2,120,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.03194,108.22279"
 Dương Quảng Hàm,Hòa Thuận Tây,hải châu,5.8,95,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.7,,3,"16.07505,108.22114"
 Ông Ích Khiêm,Thanh Bình,hải châu,10.8,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,,3,"16.07838,108.21186"
 Châu Thị Vĩnh Tế,Mỹ An,ngũ hành sơn,32,189,Không,Nhà mặt tiền,Giấy tờ hợp lệ,15,,6,"16.04978,108.24072"
 Thanh Long,Thuận Phước,hải châu,8.7,115,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,,3,"16.08158,108.21386"
 Thanh Thủy,Thuận Phước,hải châu,8.69,119,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.9,,3,"16.08232,108.21374"
 Hải Hồ,Thuận Phước,hải châu,8.64,1,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.3,,3,"16.08023,108.21557"
 Thanh Sơn,Thuận Phước,hải châu,8.7,129,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.6,,4,"16.08051,108.21372"
 Hoàng Xuân Nhị,Hòa Cường Nam,hải châu,5.99,109,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.03424,108.21715"
 Lê Văn Quý,An Hải Bắc,sơn trà,7.9,115,Không,Nhà trong hẻm,Giấy tờ hợp lệ,11,,3,"16.0722,108.23854"
 Nguyễn Công Trứ,Phước Mỹ,sơn trà,4.5,80,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,,3,"16.06847,108.23054"
 Nguyễn Công Trứ,Phước Mỹ,sơn trà,4.5,80,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,,3,"16.06847,108.23054"
 Lý Tự Trọng,Hải Châu I,hải châu,5.8,68,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.5,,4,"16.07853,108.21389"
 Lê Văn Hưu,Mỹ An,ngũ hành sơn,5.15,168,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.3,,2,"16.04094,108.23881"
 Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,5.15,186,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6,,2,"16.04376,108.24501"
 Ngũ Hành Sơn,Mỹ An,ngũ hành sơn,5.15,186,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6,,2,"16,108.26"
 Nguyễn Du,Thạch Thang,hải châu,5.3,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.2,,4,"16.07874,108.22068"
 Nguyễn Chí Thanh,Hải Châu I,hải châu,5.5,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.5,,4,"16.07735,108.22031"
 Lê Lợi,Thạch Thang,hải châu,5.59,65,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.3,,4,"16.0726,108.22022"
 Tiên Sơn,Hòa Cường Bắc,hải châu,7.8,85,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.02913,108.22021"
 Nguyễn Đăng Đạo,Hòa Thuận Tây,hải châu,5.95,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3,"16.03788,108.20817"
 Lê Văn Hiến,Hòa Hải,ngũ hành sơn,7.3,175,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,,2,"15.97728,108.26048"
 Phạm Huy Thông,Nại Hiên Đông,sơn trà,28.5,57,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,12.5,21,9,"16.09197,108.22876"
 Đồng Phước Huyến,Hòa Quý,ngũ hành sơn,3.2,100,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,1,"15.98696,108.2365"
 Nguyễn Sơn,Hòa Cường Nam,hải châu,7.6,87,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,6.25,15,3,"16.03095,108.22963"
 Lê Văn Hiến,Khuê Mỹ,ngũ hành sơn,7.3,70,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,3.6,20,4,"15.97728,108.26048"
 Phan Huy Ích,An Hải Tây,sơn trà,6,66,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,12,3,"16.05406,108.23438"
 Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.2,95,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,19,3,"16.02914,108.24223"
 An Dương Vương,Mỹ An,ngũ hành sơn,6.4,100,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,22,3,"16.04387,108.23749"
 Bùi Trang Chước,Hòa Xuân,cẩm lệ,5.7,100,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.02417,108.21229"
 Nguyễn Tuân,An Hải Bắc,sơn trà,4.75,88,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,17.6,1,"16.08076,108.23252"
 Nguyễn Hữu An,Nại Hiên Đông,sơn trà,29.5,57,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,12.5,21,9,"16.07103,108.24309"
 Mẹ Thứ,Hòa Xuân,cẩm lệ,5.6,115,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,23,3,"16.00062,108.21767"
 Phan Đình Thông,Hòa Hải,ngũ hành sơn,4.8,140,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,20,2,"15.98728,108.27111"
 Lê Văn Hưu,Mỹ An,ngũ hành sơn,8.9,110,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,22,3,"16.04094,108.23881"
 Minh Mạng,Hòa Quý,ngũ hành sơn,3.29,100,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.01664,108.25593"
 Hà Mục,Khuê Trung,cẩm lệ,5.6,100,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.01918,108.19537"
 Mẹ Thứ,Hòa Xuân,cẩm lệ,5.6,115,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,23,3,"16.00062,108.21767"
 Trần Xuân Lê,Hòa Khê,thanh khê,6,100,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.059,108.18735"
 Ông Ích Đường,Khuê Trung,cẩm lệ,5.2,83,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,7.6,14,3,"16.01707,108.20465"
 Cù Chính Lan,Hòa Khê,thanh khê,3.7,45,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,9,3,"16.0714016,108.19120789"
 Lê Văn Hưu,Mỹ An,ngũ hành sơn,5.25,185,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,6,31,2,"16.04094,108.23881"
 Lê Văn Hưu,Mỹ An,ngũ hành sơn,5.35,185,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,6,30,2,"16.04094,108.23881"
 Bình Than,Thọ Quang,sơn trà,2.5,7,Tây Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,15,1,"16.09449,108.2414"
 Hà Huy Tập,Hòa Khê,thanh khê,3.18,63,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,3.5,18,3,"16.0704,108.19171"
 Lê Văn Hưu,Mỹ An,ngũ hành sơn,5.25,185,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,6,31,2,"16.04094,108.23881"
 Nguyễn Văn Thoại,Mỹ An,ngũ hành sơn,8.2,108,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5,21,3,"16.05129,108.24253"
 Nguyễn Duy Trinh,Hòa Hải,ngũ hành sơn,2.45,135,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5,27,3,"15.99029,108.26711"
 Phan Thanh,Hải Châu II,hải châu,3.4,67,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,13,2,"16.05403,108.22089"
 Nguyễn Văn Côn,An Hải Đông,sơn trà,4.95,45,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,5,11,3,"16.0639,108.233"
 Hóa Quê Trung,Hòa Cường Bắc,hải châu,7.5,120,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,6,20,4,"16.04329,108.21986"
 Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,2.15,94,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5,,1,"16.01108,108.19622"
 Lê Độ,Tân Chính,thanh khê,1.95,40,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,,2,"16.07062,108.20136"
 Tôn Đản,Hòa Phát,cẩm lệ,2.85,100,Không,Nhà trong hẻm,Không có,5.5,,2,"16.04509,108.18114"
 Hải Phòng,Tân Chính,thanh khê,2.85,50,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,,2,"16.07085,108.20893"
 Nguyễn Thành Hãn,Hòa Thuận Tây,hải châu,8.7,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,,2,"16.04617,108.20828"
 2/9,Hải Châu I,hải châu,4.7,80,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,2,"16.08311,108.22194"
 Đào Duy Từ,Bình Hiên,hải châu,5.2,70,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,,3,"16.06813,108.21305"
 Đỗ Quang,Bình Thuận,hải châu,3.1,50,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,,2,"16.07505,108.22114"
 Hóa Mỹ,Khuê Trung,cẩm lệ,4.7,7,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,2,"16.03008,108.21299"
 Yên Khê 2,An Khê,thanh khê,3.7,50,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4,,3,"16.0714016,108.19120789"
 Mẹ Nhu,An Khê,thanh khê,3.3,55,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,,3,"16.0669,108.17988"
 Hồ Biểu Chánh,Hòa Cường Bắc,hải châu,5.2,85,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,,"16.03502,108.21987"
 Lê Cơ,Hòa Cường Nam,hải châu,2.5,50,Không,Nhà trong hẻm,Giấy tờ hợp lệ,8,,2,"16.04241,108.21996"
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,4.32,97,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,,2,"16.03954,108.21035"
 Cù Chính Lan,An Khê,thanh khê,4.2,86,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,,3,"16.0714016,108.19120789"
 An Thượng 18,Khuê Mỹ,ngũ hành sơn,4.55,55,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,,2,"16.04836,108.24055"
 Đỗ Quang,Vĩnh Trung,thanh khê,2.9,50,Không,Nhà trong hẻm,Không có,5,10,2,"16.06012,108.21207"
 Trưng Nhị,Hòa Thuận Tây,hải châu,3.29,51,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.6,11,2,"16.04512,108.21105"
 Trường Chinh,Hòa An,cẩm lệ,3.3,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,2,"16.00735,108.19196"
 Thái Thị Bôi,Chính Gián,thanh khê,2.55,65,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,,2,"16.06831,108.1972"
 Trường Chinh,Khuê Trung,cẩm lệ,3.03,80,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,,2,"16.00735,108.19196"
 Đống Đa,Thuận Phước,hải châu,3.58,44,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,,3,"16.07503,108.21489"
 Bằng Lăng 1,An Hải Tây,sơn trà,11,100,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.08923,108.24709"
 Lý Tự Trọng,Hải Châu I,hải châu,12.8,80,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,2,"16.07853,108.21389"
 Trần Hưng Đạo,An Hải Bắc,sơn trà,34,125,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,4,"16.08968,108.22756"
 Lê Hữu Khánh,Khuê Mỹ,ngũ hành sơn,14,,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,10,20,3,"16.02931,108.2398"
 Trần Hưng Đạo,An Hải Bắc,sơn trà,39,125,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5,,4,"16.08968,108.22756"
 Hoàng Xuân Hãn,Khuê Trung,cẩm lệ,10.4,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,,"16.01426,108.20745"
 Lê Duẩn,Thạc Gián,thanh khê,21,7,Không,Nhà mặt tiền,Không có,5.2,,3,"16.06965,108.2106"
 Nguyễn Văn Linh,Nam Dương,hải châu,,5,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,9,25,2,"16.06072,108.21685"
 Trần Hưng Đạo,An Hải Bắc,sơn trà,20.5,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.08968,108.22756"
 Võ Thị Sáu,Thuận Phước,hải châu,6.5,5,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,3,"16.08663,108.21849"
 Lê Quảng Chí,Hòa Xuân,cẩm lệ,10,133,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,,,5,"16.00149,108.21537"
 Trần Bạch Đằng,Phước Mỹ,sơn trà,45,80,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,15,,4,"16.07994,108.23045"
 Bạch Đằng,Hải Châu I,hải châu,80,170,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,7,24,2,"16.08728,108.2213"
 Đặng Nguyên Cẩn,Hòa Cường Nam,hải châu,15,14,Đông,Nhà mặt tiền,Không có,10,,3,"16.03155,108.23018"
 Lê Lợi,Hải Châu I,hải châu,8.5,51,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,4.3,,2,"16.0726,108.22022"
 An Thượng 18,Mỹ An,ngũ hành sơn,4.55,55,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,2,"16.04836,108.24055"
 Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.5,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.02914,108.24223"
 Tô Hiệu,Hòa Minh,liên chiểu,4.35,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,2,"16.06424,108.16672"
 Kỳ Đồng,Xuân Hà,thanh khê,8.5,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,3,"16.0714016,108.19120789"
 Lê Hữu Trác,An Hải Đông,sơn trà,8.5,190,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,,3,"16.05862,108.23956"
 Thanh Vinh 10,Hòa Khánh Bắc,liên chiểu,2.45,170,Không,Nhà mặt tiền,Không có,7,,1,"16.07536,108.13054"
 Núi Thành,Hòa Cường Bắc,hải châu,23,140,Không,Nhà mặt tiền,Giấy tờ hợp lệ,8,,3,"16.03194,108.22279"
 Lạc Long Quân,Hòa Khánh Bắc,liên chiểu,5.3,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,2,"16.07591,108.14428"
 Tôn Đức Thắng,Hòa Minh,liên chiểu,24,320,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,3,"16.07067,108.15084"
 Hoàng Đạo Thúy,Khuê Trung,cẩm lệ,4.9,130,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,,3,"16.02004,108.19732"
 Nguyễn Phước Nguyên,Hòa Khê,thanh khê,5.6,150,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,,1,"16.05452,108.18347"
 Lạc Long Quân,Hòa Khánh Bắc,liên chiểu,5.3,160,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,2,"16.07591,108.14428"
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,5,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,,3,"16.05375,108.21903"
 Lê Văn Thứ,Mân Thái,sơn trà,7.6,120,Không,Nhà mặt tiền,Giấy tờ hợp lệ,8,,,"16.08525,108.24438"
 Trường Chinh,Hòa Thọ Tây,cẩm lệ,5.5,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,8,,4,"16.00735,108.19196"
