Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Quách Thị Trang,Hòa Xuân,cẩm lệ,4.8,100,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"15.99703,108.2133"
 305 Yên Khê,Thanh Khê Đông,thanh khê,3.9,4,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,8.5,3,"16.05781364,108.15126038"
 536.25.10 Điện Biên Phủ,Thanh Khê Đông,thanh khê,2.4,61,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,15,2,"16.06533,108.20615"
 Võ Chí Công,Hòa Quý,ngũ hành sơn,3.1,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,,2,"15.9913,108.23725"
 24 An Trung 1,An Hải Tây,sơn trà,6.9,98,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,1,"16.05614,108.23502"
 Ngô Quyền,An Hải Đông,sơn trà,12.9,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9,,2,"16.09631,108.24529"
 Nguyễn Tri Phương,Hòa Thuận Tây,hải châu,9.5,115,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4,28.6,3,"16.05232,108.21081"
 Hoài Thanh,Mỹ An,ngũ hành sơn,17.5,130,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10,13,7,"16.04427,108.23848"
 Hoài Thanh,Mỹ An,ngũ hành sơn,18,130,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10,13,7,"16.04427,108.23848"
 Nguyễn Văn Thoại,An Hải Đông,sơn trà,24.9,114,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.5,19.5,3,"16.05747,108.24433"
 Phần Lăng 9,Hòa Khê,thanh khê,3.9,81,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,18,1,"16.05747,108.18768"
 Nguyễn Trung Trực,Nại Hiên Đông,sơn trà,7.5,100,Không,Nhà mặt tiền,Không có,7,16,1,"16.08582,108.22967"
 Cao Bá Quát,An Hải Tây,sơn trà,5.1,64,Không,Nhà mặt tiền,Không có,4.4,14.5,1,"16.06433,108.23061"
 Nguyễn Phan Vinh,Thọ Quang,sơn trà,3.7,81,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5,16,3,"16.10053,108.25114"
 Hoài Thanh,Mỹ An,ngũ hành sơn,17.9,130,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10,13.5,7,"16.04427,108.23848"
 Dương Quảng Hàm,Hòa Cường Nam,hải châu,5.5,74,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.7,3,"16.07505,108.22114"
 Hoà Minh 21,Hòa Minh,liên chiểu,4.6,7,Không,Nhà mặt tiền,Không có,5,,3,"16.07795,108.16094"
 Phạm Như Xương,Hòa Khánh Nam,liên chiểu,3.75,114,Không,Nhà mặt tiền,Không có,8,,1,"16.06383,108.14822"
 Lưu Trọng Lư,Hòa Cường Bắc,hải châu,5.9,70,Không,Nhà mặt tiền,Không có,5,,4,"16.03176,108.23118"
 Thái Thị Bôi,Chính Gián,thanh khê,3.75,50,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,,3,"16.06831,108.1972"
 Nguyễn Thị Minh Khai,Thạch Thang,hải châu,16.8,60,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,4,"16.0744,108.21805"
 Phạm Phú Thứ,Hải Châu I,hải châu,15,58,Không,Nhà mặt tiền,Không có,4.7,12.5,4,"16.06744,108.22425"
 Phạm Tu,Phước Mỹ,sơn trà,5.2,56,Không,Nhà mặt tiền,Không có,4,16,3,"16.06653,108.24049"
 Mỹ Đa Đông 5,Mỹ An,ngũ hành sơn,7.2,68,Không,Nhà mặt tiền,Không có,4,17,5,"16.04262,108.24301"
 Trần Bình Trọng,Hải Châu I,hải châu,17.5,110,Không,Nhà mặt tiền,Không có,6.2,17,4,"16.066,108.21872"
 Bùi Viện,Hòa Cường Nam,hải châu,11,88,Không,Nhà mặt tiền,Không có,5,17.5,5,"16.03097,108.2322"
 Phùng Chí Kiên,Hòa Minh,liên chiểu,4.5,90,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5,18,3,"16.07763,108.16537"
 Trần Lê,Hòa Xuân,cẩm lệ,9,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.00704,108.21649"
 Đa Phước 4,Khuê Mỹ,ngũ hành sơn,28.5,89,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,15,19.3,3,"16.02563,108.23957"
 278 Trần Cao Vân,Tam Thuận,thanh khê,1.5,36,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,3,12,1,"16.07252,108.2031"
 376 Trần Cao Vân,Thanh Khê Đông,thanh khê,3.3,57,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,5,12,3,"16.07105,108.19999"
 Tống Duy Tân,Hòa Minh,liên chiểu,2.75,65,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,4,16.25,2,"16.05959,108.16943"
 141 Tiểu La,Hòa Cường Bắc,hải châu,5.3,95,Đông,Nhà trong hẻm,Giấy tờ hợp lệ,7,13.5,3,"16.04468,108.21638"
 Hoàng Minh Thảo,Hòa Khánh Nam,liên chiểu,4.29,107,Đông Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,10,13,3,"16.04687,108.16397"
 Bình Kỳ,Hòa Quý,ngũ hành sơn,3.75,50,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,36,1,"15.99442,108.2388"
 Dũng Sĩ Thanh Khê,Thanh Khê Đông,thanh khê,2.5,60,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,,2,"16.07597,108.17332"
 Trưng Nữ Vương,Hòa Thuận Tây,hải châu,1.95,60,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7,,1,"16.05375,108.21903"
 Lê Duẩn,Tân Chính,hải châu,3.15,60,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,,2,"16.07148,108.22157"
