 Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Nguyễn Như Đỗ,Hòa Thọ Tây,cẩm lệ,1.85,120,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,24,1,"15.99988736,108.18635632"
 Tô Hiệu,Hòa Minh,liên chiểu,3.69,70,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.5,16,2,"16.06424,108.16672"
 Tôn Đản,Hòa Phát,cẩm lệ,3.65,90,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,18,3,"16.04509,108.18114"
 Ngô Quyền,An Hải Bắc,sơn trà,2.83,110,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,22,2,"16.09631,108.24529"
 Trần Cao Vân,Tam Thuận,thanh khê,1.49,36,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,4.1,,,"16.0738,108.20758"
 Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,5.35,125,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,25,2,"16.0215783,108.21282"
 Lỗ Giáng 6,Hòa Xuân,cẩm lệ,3.9,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.00055,108.21451"
 Phan Văn Trị,Khuê Trung,cẩm lệ,6.35,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,20,3,"16.01724,108.20838"
 Trần Văn Cẩn,Hòa Xuân,cẩm lệ,3.96,150,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,30,3,"16.00085,108.21368"
 Đặng Văn Ngữ,Khuê Trung,cẩm lệ,5.8,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.0137,108.20659"
 Bình Hòa 4,Khuê Trung,cẩm lệ,8.5,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,4,"16.02489905,108.21239205"
 Phạm Hùng,Hòa Xuân,cẩm lệ,6,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,22,1,"16.00192,108.207"
 Bình Hòa 14,Khuê Trung,cẩm lệ,4.15,80,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,16,3,"16.02302,108.21231"
 Nguyễn Khoa Chiêm,Hòa Thọ Đông,cẩm lệ,4.9,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.0212,108.19683"
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,7.5,75,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.7,13,2,"16.0215783,108.21282"
 Hoàng Đạo Thúy,Hòa Thọ Đông,cẩm lệ,5,120,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,24,3,"16.02004,108.19732"
 Trường Chinh,Hòa Thọ Đông,cẩm lệ,4.8,67,Không,Nhà mặt tiền,Giấy tờ hợp lệ,11.07,6.91,4,"16.00735,108.19196"
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,18.8,170,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5,34,4,"16.03954,108.21035"
 Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,4.4,95,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,19,3,"16.02131,108.20046"
 Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,3.9,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,18,3,"16.02131,108.20046"
 Nguyễn Nho Túy,Khuê Trung,cẩm lệ,3.55,75,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,15,2,"16.02092,108.20847"
 Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,14,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7,15,2,"16.0215783,108.21282"
 Võ Chí Công,Hòa Xuân,cẩm lệ,24,50,Không,Nhà mặt tiền,Giấy tờ hợp lệ,15,17,2,"16.00562,108.22146"
 Bình Thái 4,Hòa Thọ Đông,cẩm lệ,3.85,126,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,21,2,"16.01393,108.20296"
 Liêm Lạc 15,Hòa Xuân,cẩm lệ,2.85,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"15.98304,108.218"
 Trần Kim Xuyến,Hòa Xuân,cẩm lệ,5.6,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"16.02793,108.21234"
 Trần Văn Cẩn,Hòa Xuân,cẩm lệ,3.8,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.00085,108.21368"
 Trương Quang Giao,Khuê Trung,cẩm lệ,4.3,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,18,3,"16.0202,108.20964"
 Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,3.3,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"15.99456,108.21192"
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,11,140,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.9,25,1,"16.0215783,108.21282"
 Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,4.2,145,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6,24,3,"16.01108,108.19622"
 Bình Thái 3,Hòa Thọ Đông,cẩm lệ,4.3,135,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.4,25,2,"16.01628,108.20353"
 Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,4.9,125,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,25,2,"16.02276,108.2069"
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,20,310,Không,Nhà mặt tiền,Giấy tờ hợp lệ,11.2,26,3,"16.0215783,108.21282"
 Trần Kim Bảng,Khuê Trung,cẩm lệ,5.4,90,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,18,2,"16.02793,108.21234"
 Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,3.9,120,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,24,2,"16.02131,108.20046"
 Trần Huy Liệu,Khuê Trung,cẩm lệ,4.1,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.02044,108.20491"
 Phan Triêm,Hòa Xuân,cẩm lệ,3.9,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"16.00474,108.22153"
 Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,3.75,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,3,"15.99456,108.21192"
 2/9,Hòa Cường Nam,hải châu,17.9,160,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.7,21,3,"16.08311,108.22194"
 Cẩm Bắc 9,Hòa Thọ Đông,cẩm lệ,3.3,80,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,16,2,"16.01876,108.19498"
 Liêm Lạc 21,Hòa Xuân,cẩm lệ,2.85,100,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,20,2,"15.9788,108.21882"
 Bình Hòa 2,Khuê Trung,cẩm lệ,2.85,60,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4,15,1,"16.02606,108.21319"
 Trường Chinh,Khuê Trung,cẩm lệ,2.5,85,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,21,1,"16.00735,108.19196"
 Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2.8,90,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5,18,2,"16.01707,108.20465"
 Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,3.15,110,Không,Nhà trong hẻm,Giấy tờ hợp lệ,9,12,1,"16.0215783,108.21282"
 Phạm Hùng,Hòa Xuân,cẩm lệ,6.7,110,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,22,3,"16.00192,108.207"
 Phạm Viết Chánh,Hòa Thọ Đông,cẩm lệ,2.25,78,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6,13,2,"16.0077878,108.2162441"
 Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2.2,76,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.6,16,2,"16.01707,108.20465"
 Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2.1,84,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4,21,2,"16.0215783,108.21282"
